snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3,L1,L2,L3
Developmental verbal dyspraxia (disorder),229703009,Childhood apraxia of speech,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"These symptoms are usually noticed between ages 18 months and 2 years, and may indicate suspected CAS.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Radial styloid tenosynovitis (disorder),21794005,De Quervain's tenosynovitis,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,"If treatment begins within the first six months of symptoms, most people recover completely after receiving corticosteroid injections, often after just one injection.",MAYO,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Cardiac arrhythmia (disorder),698247007,Heart arrhythmias,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"This serious problem is fatal if the heart isn't restored to a normal rhythm within minutes.
Most",MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Seasonal affective disorder (disorder),247803002,Seasonal affective disorder (SAD),IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"If you have CBT, you'll have a number of sessions with a specially trained therapist, usually over several weeks or months",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Turner syndrome (disorder),38804009,Turner syndrome,PERMANENT,0.0034562211981566,There's no cure for Turner syndrome but many of the associated symptoms can be treated.,NHS,0.0005798221878623,0.1677618863548511,PERMANENT,,
Perforation of tympanic membrane (disorder),60442001,Ruptured eardrum (perforated eardrum),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0048543689320388,A ruptured eardrum usually heals within a few weeks without treatment.,MAYO,0.0005798221878623,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Transplant of lung (procedure),88039007,Lung transplant,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,This may take several months to achieve,NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Pediculosis capitis (disorder),81000006,Head lice,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,Malathion can be reapplied seven to nine days after the first treatment if necessary.,MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Zika virus disease (disorder),3928002,Zika virus,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0165289256198347,"On returning to the UK, you should avoid becoming pregnant for a further 2 months if only the woman travelled, and for 3 months if both partners or just the male partner travelled.",NHS,0.0003865481252415,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Malignant neoplasm of liver (disorder),93870000,Liver cancer,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,Screening typically involves a blood test and an abdominal ultrasound exam every six months.,MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Heart block (disorder),233916004,Heart block,PERMANENT,0.0011520737327188,"But more commonly, heart block develops later in life",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,
Hereditary liability to pressure palsies (disorder),230558006,Hereditary neuropathy with pressure palsies (HNPP),DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"Symptoms usually start in your teenage years or 20s to 30s, although they can develop in childhood or later in life",NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Endoscopy of stomach (procedure),386831001,Gastroscopy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"A gastroscopy often takes less than 15 minutes, although it may take longer if it's being used to treat a condition.",NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Scar (morphologic abnormality),12402003,Scars,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.0131578947368421,"To be effective, silicone gels or sheets should be placed over the scar for 12 hours a day for at least three months",NHS,0.0003865481252415,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Hand foot and mouth disease (disorder),266108008,Hand-foot-and-mouth disease,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH,0.064516129032258,Signs and symptoms of hand-foot-and-mouth disease usually clear up in seven to 10 days.,MAYO,0.0003865481252415,0.0059914959412446,DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH
Impingement syndrome of shoulder region (disorder),239960007,Shoulder impingement,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"An impinging shoulder will often improve in a few weeks or months, especially with the right type of shoulder exercises, but occasionally it can be an ongoing problem.",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Diabetes mellitus type 1 (disorder),46635009,Type 1 diabetes,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,This blood test indicates your average blood sugar level for the past two to three months.,MAYO,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Toxic effect of ethyl alcohol (disorder),82782008,Alcohol poisoning,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,The level of alcohol in a person's blood can continue to rise for up to 30 to 40 minutes after their last drink.,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Sleep terror disorder (disorder),89675003,Night terrors and nightmares,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"Your child may wake up from the nightmare and, depending on their age, may be able to remember and describe the bad dream to you",NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Ehlers-Danlos syndrome (disorder),398114001,Ehlers-Danlos syndromes,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,curvature of the spine – this starts in early childhood and often gets worse in the teenage years,NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Fracture of clavicle (disorder),58150001,Broken collarbone,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"This is normal, and often improves over the following months",NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Multiple myeloma (disorder),109989006,Multiple myeloma,PERMANENT,0.0057603686635944,Treatment for multiple myeloma can often help to control symptoms and improve quality of life,NHS,0.0009663703131039,0.1677618863548511,PERMANENT,,
Dyspraxia (finding),6950007,Developmental co-ordination disorder (dyspraxia) in children,PERMANENT,0.0023041474654377,"Because of the limitations of available treatments for DCD and the fact it cannot be cured, some parents may look into alternative therapies that claim to cure or greatly improve the condition.",NHS,0.0003865481252415,0.1677618863548511,PERMANENT,,
Myelodysplastic syndrome (morphologic abnormality),128623006,Myelodysplastic syndrome (myelodysplasia),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,It can take a few months or up to several years before transformation takes place,NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Transcutaneous electrical nerve stimulation (regime/therapy),229559001,TENS (transcutaneous electrical nerve stimulation),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"You can choose to buy your own TENS machine without getting medical advice, but it's generally better to have a proper assessment first, so you can find out whether a TENS machine is appropriate for you and be taught how to use it properly.",NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Neoplasm of gallbladder (disorder),126854002,Gallbladder cancer,PERMANENT,0.0023041474654377,"The aim of these operations is to help improve your symptoms, not to cure the cancer.",NHS,0.0003865481252415,0.1677618863548511,PERMANENT,,
Blastocystis hominis (organism),28923009,Blastocystis hominis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,Mild signs and symptoms might improve on their own within a few days.,MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Sialolithiasis (disorder),28826002,Salivary gland stones,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"If that's not possible, you may need to have the stone removed in hospital.",NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Splenomegaly (disorder),16294009,Enlarged spleen (splenomegaly),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,Your doctor generally can't feel a normal-sized spleen in adults but can feel an enlarged spleen.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Disseminated idiopathic skeletal hyperostosis (disorder),31487001,Diffuse idiopathic skeletal hyperostosis (DISH),DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,DISH can be progressive.,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Clinical trial (procedure),110465008,Clinical trials,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,Trials often last a year or more and involve several thousand patients.,NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Cognitive and behavioral therapy (regime/therapy),228557008,Cognitive behavioural therapy (CBT),PERMANENT,0.0011520737327188,"Although CBT cannot cure the physical symptoms of these conditions, it can help people cope better with their symptoms.",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,
Arthritis (disorder),3723001,Arthritis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"This wear and tear can occur over many years, or it can be hastened by a joint injury or infection.",MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Streptococcal sore throat (disorder),43878008,Strep throat,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"With treatment, you or your child should start feeling better in a day or two.",MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Local anesthesia (procedure),386761002,Local anaesthesia,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0031088082901554,It normally only takes a few minutes to lose feeling in the area where a local anaesthetic is given.,NHS,0.0005798221878623,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Otitis (disorder),43275000,Ear infections,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"Most ear infections clear up within 3 days, although sometimes symptoms can last up to a week.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Sleep walking disorder (disorder),80495009,Sleepwalking,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0031088082901554,"For several nights, note — or have another person in your home note — how many minutes after bedtime a sleepwalking episode occurs.",MAYO,0.0005798221878623,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Acute pelvic pain (finding),314716005,Pelvic pain,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"It may come on suddenly and severely, or could be mild and last for months",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Obesity (disorder),414916001,Obesity,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0041450777202072,"take up activities such as fast walking, jogging, swimming or tennis for 150 to 300 minutes (2",NHS,0.0007730962504831,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Adrenoleukodystrophy (disorder),65389002,Adrenoleukodystrophy,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH,0.032258064516129,"This form of X-linked ALD usually occurs between ages 4 and 10. The white matter of the brain is progressively damaged (leukodystrophy), and symptoms worsen over time.",MAYO,0.0001932740626207,0.0059914959412446,DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH
Malignant tumor of nasopharynx (disorder),187692001,Nasopharyngeal cancer,DECLINE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0666666666666666,"To start with, these appointments will be every few weeks or months, but they'll become gradually less frequent over time.",NHS,0.0001932740626207,0.0028991109393119,DECLINE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Acute cholecystitis (disorder),65275009,Acute cholecystitis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"These often need to be continued for up to a week, during which time you may need to stay in hospital, or you may be able to go home.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Acute coronary syndrome (disorder),394659003,Acute coronary syndrome,PERMANENT,0.0011520737327188,"Even when there is no cell death, the decrease in oxygen still results in heart muscles that don't work the way they should.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Muscle strain (disorder),48532005,Muscle strains,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.0344827586206896,Chronic muscle strains can result from repetitive injuries when you stress a muscle by doing the same motion over and over.,MAYO,0.0001932740626207,0.005604947816003,DECLINE,FAST,FROM 5 MINUTE TO 1 DAY
Cirrhosis of liver (disorder),19943007,Cirrhosis,PERMANENT,0.0023041474654377,There's no cure for cirrhosis at the moment,NHS,0.0003865481252415,0.1677618863548511,PERMANENT,,
Female pelvic inflammatory disease (disorder),198130006,Pelvic inflammatory disease (PID),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,Pelvic inflammatory disease can cause pelvic pain that might last for months or years.,MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Burn injury (morphologic abnormality),48333001,Burns,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.0555555555555555,It can take a day or two for the signs and symptoms of a severe burn to develop.,MAYO,0.0001932740626207,0.0034789331271743,DECLINE,FAST,FROM 1 DAY TO 1 WEEK
Atelectasis (disorder),46621007,Atelectasis,PERMANENT,0.0011520737327188,"If the condition is due to a blockage, surgery or other treatments may be needed.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Deep venous thrombosis (disorder),128053003,Deep vein thrombosis,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0165289256198347,might need to take blood thinner pills for three months or longer.,MAYO,0.0003865481252415,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Diabetes insipidus (disorder),15771004,Diabetes insipidus,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,A healthy adult typically urinates an average of 1 or 2 quarts (about 1 to 2 liters) a day.,MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Fibromuscular dysplasia (morphologic abnormality),31653004,Fibromuscular dysplasia,PERMANENT,0.0023041474654377,"Treatments are available, but there isn't a cure for fibromuscular dysplasia.",MAYO,0.0003865481252415,0.1677618863548511,PERMANENT,,
Sleep apnea (disorder),73430006,Sleep apnea,PERMANENT,0.0011520737327188,"If you have heart disease, multiple episodes of low blood oxygen (hypoxia or hypoxemia) can lead to sudden death from an irregular heartbeat.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Dental abscess (disorder),299709002,Tooth abscess,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"If you care for your restored tooth properly, it can last a lifetime.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Arthroplasty of knee (procedure),19063003,Knee replacement,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0434782608695652,"If you're generally fit and well, the surgeon may suggest an enhanced recovery programme where you start walking on the day of the operation and are discharged within 1 to 3 days.",NHS,0.0001932740626207,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK
Postpartum thyroiditis (disorder),52772002,Postpartum thyroiditis,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0077120822622107,Postpartum thyroiditis often lasts several weeks to months.,MAYO,0.0005798221878623,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Prickly heat (disorder),72658003,Heat rash (prickly heat),IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,It should clear up on its own after a few days,NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Congenital anomaly of mitral valve (disorder),75372006,Congenital mitral valve anomalies,PERMANENT,0.0011520737327188,Congenital heart disease can often be treated successfully in childhood.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Abscess of brain (disorder),441806004,Brain abscess,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"headaches – these are common after a craniotomy and may last several months, but should eventually settle down",NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Suicide (event),44301001,Suicide and suicidal thoughts,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0031088082901554,You may save a life — your own or someone else's.,MAYO,0.0005798221878623,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Late ejaculation (finding),15405008,Delayed ejaculation,PERMANENT,0.0011520737327188,Delayed ejaculation can be temporary or a lifelong problem.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Hypercholesterolemia (disorder),13644009,High cholesterol,PERMANENT,0.0011520737327188,The same heart-healthy lifestyle changes that can lower your cholesterol can help prevent you from having high cholesterol in the first place.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Cramp in lower limb (finding),449917004,Leg cramps,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,The cramps can last from a few seconds to 10 minutes,NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Malignant tumor of urinary bladder (disorder),399326009,Bladder cancer,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,Most people are able to leave hospital less than 48 hours after having TURBT and are able to resume normal physical activity within 2 weeks.,NHS,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Nausea (finding),422587007,Feeling sick (nausea),IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,don't feel better in a few days,NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Spina bifida (disorder),67531005,Spina bifida,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,These evaluations will be more frequent in the first few years of life but less often as children grow.,MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Eisenmenger's syndrome (disorder),445928005,Eisenmenger syndrome,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,Eisenmenger syndrome develops most often due to a hole between the chambers of your heart.,MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Allergy to shellfish (finding),300913006,Shellfish allergy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,Shellfish allergy symptoms generally develop within minutes to an hour of eating shellfish.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Plantar fasciitis (disorder),202882003,Plantar fasciitis,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"Most people who have plantar fasciitis recover in several months with conservative treatment, including resting, icing the painful area and stretching.",MAYO,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Entropion of eyelid (disorder),33168009,Entropion,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"After several months, your eyelid may turn itself back inward.",MAYO,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Substance with histamine receptor antagonist mechanism of action (substance),372806008,Antihistamines,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,But types that make you feel sleepy may be better if your symptoms stop you sleeping,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Gingival disease (disorder),18718003,Gum disease,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,You'll usually have to take these for 3 days,NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
"Viral hepatitis, type A (disorder)",40468003,Hepatitis A,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0434782608695652,"Hepatitis A can be unpleasant, but it's not usually serious and most people make a full recovery within a couple of months.",NHS,0.0003865481252415,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Endoscopy of urinary bladder (procedure),24139008,Cystoscopy,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0181159420289855,rest at home for a day or two – you may need to take a couple of days off work,NHS,0.0009663703131039,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Cystic fibrosis (disorder),190905008,Cystic fibrosis,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH,0.032258064516129,"because of newborn screening, cystic fibrosis can be diagnosed within the first month of life, before symptoms develop.",MAYO,0.0001932740626207,0.0059914959412446,DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH
Malignant neoplasm of bone (disorder),428281000,Bone cancer,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0048543689320388,Ewing sarcoma – which most commonly affects people aged between 10 and 20,NHS,0.0005798221878623,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Inflammatory disease of mucous membrane (disorder),95361005,Mucositis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,"It can be very unpleasant, but usually stops in a few weeks",NHS,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Burning mouth syndrome (disorder),399165002,Burning mouth syndrome,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"Whatever pattern of mouth discomfort you have, burning mouth syndrome may last for months to years.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Corneal transplant (procedure),60656008,Cornea transplant,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,Endothelial transplants (EK) tend to have a faster recovery time of months or even weeks.,NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Ventricular septal defect (disorder),30288003,Ventricular septal defect,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Signs and symptoms of serious heart defects often appear during the first few days, weeks or months of a child's life.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Pulmonary atresia with intact ventricular septum (disorder),253590009,Pulmonary atresia with ventricular septum defect,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,This is usually performed between 4 and 6 months of age.,MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Malignant tumor of rectum (disorder),363351006,Bowel cancer,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,"After rectal cancer surgery, most people need to go to the toilet to open their bowels more often than before, although this usually settles down within a few months of the operation.",NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Polyp of nasal cavity and/or nasal sinus (disorder),736499003,Nasal polyps,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"Nasal polyps can sometimes feel like a cold, but colds tend to clear up within a few days, whereas nasal polyps will not get better unless they're treated.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Schizoaffective disorder (disorder),68890003,Schizoaffective disorder,PERMANENT,0.0034562211981566,"People with schizoaffective disorder generally respond best to a combination of medications, psychotherapy and life skills training.",MAYO,0.0005798221878623,0.1677618863548511,PERMANENT,,
