fileName,source,conditionName,type,url,alternativeName,altNames
MAYO_Achalasia_treatment.json,MAYO,Achalasia,treatment.json,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,,
NHS_Achalasia_overview.json,NHS,Achalasia,overview.json,https://www.nhs.uk/conditions/achalasia/,,
MAYO_Achilles tendinitis_overview.json,MAYO,Achilles tendinitis,overview.json,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,,
MAYO_Achilles tendinitis_treatment.json,MAYO,Achilles tendinitis,treatment.json,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,,
MAYO_Achilles tendon rupture_treatment.json,MAYO,Achilles tendon rupture,treatment.json,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,,
MAYO_Achilles tendon rupture_overview.json,MAYO,Achilles tendon rupture,overview.json,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,,
NHS_Acid and chemical burns_overview.json,NHS,Acid and chemical burns,overview.json,https://www.nhs.uk/conditions/acid-and-chemical-burns/,,
NHS_Acne_treatment.json,NHS,Acne,treatment.json,https://www.nhs.uk/conditions/acne/,,
NHS_Acne_overview.json,NHS,Acne,overview.json,https://www.nhs.uk/conditions/acne/,,
MAYO_Acne_treatment.json,MAYO,Acne,treatment.json,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,,
MAYO_Acne_overview.json,MAYO,Acne,overview.json,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,,
MAYO_Acoustic neuroma_treatment.json,MAYO,Acoustic neuroma,treatment.json,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127,,
MAYO_Acoustic neuroma_overview.json,MAYO,Acoustic neuroma,overview.json,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127,,
NHS_Acoustic neuroma (vestibular schwannoma)_overview.json,NHS,Acoustic neuroma (vestibular schwannoma),overview.json,https://www.nhs.uk/conditions/acoustic-neuroma/,,Vestibular schwannoma
MAYO_Acromegaly_overview.json,MAYO,Acromegaly,overview.json,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,,
NHS_Acromegaly_overview.json,NHS,Acromegaly,overview.json,https://www.nhs.uk/conditions/acromegaly/,,Gigantism
MAYO_Acromegaly_treatment.json,MAYO,Acromegaly,treatment.json,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,,
NHS_Actinic keratoses (solar keratoses)_overview.json,NHS,Actinic keratoses (solar keratoses),overview.json,https://www.nhs.uk/conditions/actinic-keratoses/,,Solar keratoses
MAYO_Actinic keratosis_treatment.json,MAYO,Actinic keratosis,treatment.json,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969,,
MAYO_Actinic keratosis_overview.json,MAYO,Actinic keratosis,overview.json,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969,,
NHS_Actinomycosis_overview.json,NHS,Actinomycosis,overview.json,https://www.nhs.uk/conditions/actinomycosis/,,
NHS_Acupuncture_overview.json,NHS,Acupuncture,overview.json,https://www.nhs.uk/conditions/acupuncture/,,
NHS_Acute cholecystitis_overview.json,NHS,Acute cholecystitis,overview.json,https://www.nhs.uk/conditions/acute-cholecystitis/,,"Cholecystitis (acute),Gallbladder pain"
MAYO_Acute coronary syndrome_overview.json,MAYO,Acute coronary syndrome,overview.json,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,,
MAYO_Acute coronary syndrome_treatment.json,MAYO,Acute coronary syndrome,treatment.json,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,,
MAYO_Acute kidney failure_treatment.json,MAYO,Acute kidney failure,treatment.json,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,,
MAYO_Acute kidney failure_overview.json,MAYO,Acute kidney failure,overview.json,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,,
NHS_Acute kidney injury_overview.json,NHS,Acute kidney injury,overview.json,https://www.nhs.uk/conditions/acute-kidney-injury/,,
MAYO_Acute liver failure_treatment.json,MAYO,Acute liver failure,treatment.json,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863,,
MAYO_Acute liver failure_overview.json,MAYO,Acute liver failure,overview.json,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863,,
NHS_Acute lymphoblastic leukaemia_treatment.json,NHS,Acute lymphoblastic leukaemia,treatment.json,https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/,,Leukaemia (acute lymphoblastic)
NHS_Acute lymphoblastic leukaemia_overview.json,NHS,Acute lymphoblastic leukaemia,overview.json,https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/,,Leukaemia (acute lymphoblastic)
MAYO_Acute lymphocytic leukemia_treatment.json,MAYO,Acute lymphocytic leukemia,treatment.json,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,Acute lymphoblastic leukemia,
MAYO_Acute lymphocytic leukemia_overview.json,MAYO,Acute lymphocytic leukemia,overview.json,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,Acute lymphoblastic leukemia,
MAYO_Acute myelogenous leukemia_treatment.json,MAYO,Acute myelogenous leukemia,treatment.json,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,,
MAYO_Acute myelogenous leukemia_overview.json,MAYO,Acute myelogenous leukemia,overview.json,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,,
NHS_Acute myeloid leukaemia_treatment.json,NHS,Acute myeloid leukaemia,treatment.json,https://www.nhs.uk/conditions/acute-myeloid-leukaemia/,,Leukaemia (acute myeloid)
NHS_Acute myeloid leukaemia_overview.json,NHS,Acute myeloid leukaemia,overview.json,https://www.nhs.uk/conditions/acute-myeloid-leukaemia/,,Leukaemia (acute myeloid)
NHS_Acute pancreatitis_treatment.json,NHS,Acute pancreatitis,treatment.json,https://www.nhs.uk/conditions/acute-pancreatitis/,,Pancreatitis (acute)
NHS_Acute pancreatitis_overview.json,NHS,Acute pancreatitis,overview.json,https://www.nhs.uk/conditions/acute-pancreatitis/,,Pancreatitis (acute)
NHS_Acute respiratory distress syndrome_overview.json,NHS,Acute respiratory distress syndrome,overview.json,https://www.nhs.uk/conditions/acute-respiratory-distress-syndrome/,,
MAYO_Acute sinusitis_overview.json,MAYO,Acute sinusitis,overview.json,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,,
MAYO_Acute sinusitis_treatment.json,MAYO,Acute sinusitis,treatment.json,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,,
MAYO_Addison's disease_overview.json,MAYO,Addison's disease,overview.json,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,,
MAYO_Addison's disease_treatment.json,MAYO,Addison's disease,treatment.json,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,,
NHS_Addison's disease_treatment.json,NHS,Addison's disease,treatment.json,https://www.nhs.uk/conditions/addisons-disease/,,
NHS_Addison's disease_overview.json,NHS,Addison's disease,overview.json,https://www.nhs.uk/conditions/addisons-disease/,,
NHS_Adenoidectomy_overview.json,NHS,Adenoidectomy,overview.json,https://www.nhs.uk/conditions/adenoids-and-adenoidectomy/,,
MAYO_Adenomyosis_overview.json,MAYO,Adenomyosis,overview.json,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,,
MAYO_Adenomyosis_treatment.json,MAYO,Adenomyosis,treatment.json,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,,
MAYO_Adjustment disorders_treatment.json,MAYO,Adjustment disorders,treatment.json,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224,,
MAYO_Adjustment disorders_overview.json,MAYO,Adjustment disorders,overview.json,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224,,
MAYO_Adnexal tumors_overview.json,MAYO,Adnexal tumors,overview.json,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053,,
MAYO_Adrenal cancer_overview.json,MAYO,Adrenal cancer,overview.json,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026,,
MAYO_Adrenal cancer_treatment.json,MAYO,Adrenal cancer,treatment.json,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026,,
MAYO_Adrenoleukodystrophy_overview.json,MAYO,Adrenoleukodystrophy,overview.json,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157,,
MAYO_Adrenoleukodystrophy_treatment.json,MAYO,Adrenoleukodystrophy,treatment.json,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157,,
MAYO_Adult Still's disease_treatment.json,MAYO,Adult Still's disease,treatment.json,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907,,
MAYO_Adult Still's disease_overview.json,MAYO,Adult Still's disease,overview.json,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907,,
MAYO_Adult attention-deficit hyperactivity disorder (ADHD)_treatment.json,MAYO,Adult attention-deficit hyperactivity disorder (ADHD),treatment.json,https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,"ADHD, Adult",
MAYO_Adult attention-deficit hyperactivity disorder (ADHD)_overview.json,MAYO,Adult attention-deficit hyperactivity disorder (ADHD),overview.json,https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,"ADHD, Adult",
MAYO_Age spots (liver spots)_overview.json,MAYO,Age spots (liver spots),overview.json,https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859,,
MAYO_Age spots (liver spots)_treatment.json,MAYO,Age spots (liver spots),treatment.json,https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859,,
NHS_Age-related cataracts_overview.json,NHS,Age-related cataracts,overview.json,https://www.nhs.uk/conditions/cataracts/,,Cataracts (age-related)
NHS_Age-related macular degeneration (AMD)_overview.json,NHS,Age-related macular degeneration (AMD),overview.json,https://www.nhs.uk/conditions/age-related-macular-degeneration-amd/,,Macular degeneration (age-related)
MAYO_Agoraphobia_treatment.json,MAYO,Agoraphobia,treatment.json,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987,,
MAYO_Agoraphobia_overview.json,MAYO,Agoraphobia,overview.json,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987,,
NHS_Agoraphobia_overview.json,NHS,Agoraphobia,overview.json,https://www.nhs.uk/conditions/agoraphobia/,,
NHS_Agoraphobia_treatment.json,NHS,Agoraphobia,treatment.json,https://www.nhs.uk/conditions/agoraphobia/,,
NHS_Air or gas embolism_overview.json,NHS,Air or gas embolism,overview.json,https://www.nhs.uk/conditions/air-embolism/,,Decompression sickness
MAYO_Airplane ear_overview.json,MAYO,Airplane ear,overview.json,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701,,
MAYO_Airplane ear_treatment.json,MAYO,Airplane ear,treatment.json,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701,,
NHS_Albinism_overview.json,NHS,Albinism,overview.json,https://www.nhs.uk/conditions/albinism/,,
MAYO_Albinism_overview.json,MAYO,Albinism,overview.json,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184,,
MAYO_Albinism_treatment.json,MAYO,Albinism,treatment.json,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184,,
MAYO_Alcohol intolerance_treatment.json,MAYO,Alcohol intolerance,treatment.json,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211,,
MAYO_Alcohol intolerance_overview.json,MAYO,Alcohol intolerance,overview.json,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211,,
NHS_Alcohol misuse_treatment.json,NHS,Alcohol misuse,treatment.json,https://www.nhs.uk/conditions/alcohol-misuse/,,
NHS_Alcohol misuse_overview.json,NHS,Alcohol misuse,overview.json,https://www.nhs.uk/conditions/alcohol-misuse/,,
MAYO_Alcohol poisoning_treatment.json,MAYO,Alcohol poisoning,treatment.json,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386,,
MAYO_Alcohol poisoning_overview.json,MAYO,Alcohol poisoning,overview.json,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386,,
NHS_Alcohol poisoning_overview.json,NHS,Alcohol poisoning,overview.json,https://www.nhs.uk/conditions/alcohol-poisoning/,,
MAYO_Alcohol use disorder_treatment.json,MAYO,Alcohol use disorder,treatment.json,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,"Addiction, alcohol",
MAYO_Alcohol use disorder_overview.json,MAYO,Alcohol use disorder,overview.json,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,"Addiction, alcohol",
NHS_Alcohol-related liver disease_treatment.json,NHS,Alcohol-related liver disease,treatment.json,https://www.nhs.uk/conditions/alcohol-related-liver-disease-arld/,,Liver disease (alcohol-related)
NHS_Alcohol-related liver disease_overview.json,NHS,Alcohol-related liver disease,overview.json,https://www.nhs.uk/conditions/alcohol-related-liver-disease-arld/,,Liver disease (alcohol-related)
MAYO_Alcoholic hepatitis_treatment.json,MAYO,Alcoholic hepatitis,treatment.json,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,,
MAYO_Alcoholic hepatitis_overview.json,MAYO,Alcoholic hepatitis,overview.json,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,,
NHS_Alexander technique_overview.json,NHS,Alexander technique,overview.json,https://www.nhs.uk/conditions/alexander-technique/,,
NHS_Alkaptonuria_overview.json,NHS,Alkaptonuria,overview.json,https://www.nhs.uk/conditions/alkaptonuria/,,
NHS_Allergic rhinitis_overview.json,NHS,Allergic rhinitis,overview.json,https://www.nhs.uk/conditions/allergic-rhinitis/,,Rhinitis (allergic)
NHS_Allergic rhinitis_treatment.json,NHS,Allergic rhinitis,treatment.json,https://www.nhs.uk/conditions/allergic-rhinitis/,,Rhinitis (allergic)
NHS_Allergies_overview.json,NHS,Allergies,overview.json,https://www.nhs.uk/conditions/allergies/,,
NHS_Allergies_treatment.json,NHS,Allergies,treatment.json,https://www.nhs.uk/conditions/allergies/,,
MAYO_Allergies_overview.json,MAYO,Allergies,overview.json,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,,
MAYO_Allergies_treatment.json,MAYO,Allergies,treatment.json,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,,
MAYO_Alpha-gal syndrome_overview.json,MAYO,Alpha-gal syndrome,overview.json,https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/symptoms-causes/syc-20428608,,
MAYO_Alpha-gal syndrome_treatment.json,MAYO,Alpha-gal syndrome,treatment.json,https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/symptoms-causes/syc-20428608,,
NHS_Altitude sickness_overview.json,NHS,Altitude sickness,overview.json,https://www.nhs.uk/conditions/altitude-sickness/,,
MAYO_Alzheimer's disease_overview.json,MAYO,Alzheimer's disease,overview.json,https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447,,
MAYO_Alzheimer's disease_treatment.json,MAYO,Alzheimer's disease,treatment.json,https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447,,
NHS_Alzheimer's disease_overview.json,NHS,Alzheimer's disease,overview.json,https://www.nhs.uk/conditions/alzheimers-disease/,,
NHS_Alzheimer's disease_treatment.json,NHS,Alzheimer's disease,treatment.json,https://www.nhs.uk/conditions/alzheimers-disease/,,
MAYO_Ambiguous genitalia_treatment.json,MAYO,Ambiguous genitalia,treatment.json,https://www.mayoclinic.org/diseases-conditions/ambiguous-genitalia/symptoms-causes/syc-20369273,,
MAYO_Ambiguous genitalia_overview.json,MAYO,Ambiguous genitalia,overview.json,https://www.mayoclinic.org/diseases-conditions/ambiguous-genitalia/symptoms-causes/syc-20369273,,
MAYO_Ameloblastoma_treatment.json,MAYO,Ameloblastoma,treatment.json,https://www.mayoclinic.org/diseases-conditions/ameloblastoma/symptoms-causes/syc-20351278,,
MAYO_Ameloblastoma_overview.json,MAYO,Ameloblastoma,overview.json,https://www.mayoclinic.org/diseases-conditions/ameloblastoma/symptoms-causes/syc-20351278,,
MAYO_Amenorrhea_treatment.json,MAYO,Amenorrhea,treatment.json,https://www.mayoclinic.org/diseases-conditions/amenorrhea/symptoms-causes/syc-20369299,,
MAYO_Amenorrhea_overview.json,MAYO,Amenorrhea,overview.json,https://www.mayoclinic.org/diseases-conditions/amenorrhea/symptoms-causes/syc-20369299,,
MAYO_Amnesia_overview.json,MAYO,Amnesia,overview.json,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360,,
MAYO_Amnesia_treatment.json,MAYO,Amnesia,treatment.json,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360,,
NHS_Amniocentesis_overview.json,NHS,Amniocentesis,overview.json,https://www.nhs.uk/conditions/amniocentesis/,,
MAYO_Amniotic fluid embolism_treatment.json,MAYO,Amniotic fluid embolism,treatment.json,https://www.mayoclinic.org/diseases-conditions/amniotic-fluid-embolism/symptoms-causes/syc-20369324,,
MAYO_Amniotic fluid embolism_overview.json,MAYO,Amniotic fluid embolism,overview.json,https://www.mayoclinic.org/diseases-conditions/amniotic-fluid-embolism/symptoms-causes/syc-20369324,,
MAYO_Ampullary cancer_overview.json,MAYO,Ampullary cancer,overview.json,https://www.mayoclinic.org/diseases-conditions/ampullary-cancer/symptoms-causes/syc-20355066,,
MAYO_Ampullary cancer_treatment.json,MAYO,Ampullary cancer,treatment.json,https://www.mayoclinic.org/diseases-conditions/ampullary-cancer/symptoms-causes/syc-20355066,,
NHS_Amputation_overview.json,NHS,Amputation,overview.json,https://www.nhs.uk/conditions/amputation/,,
MAYO_Amyloidosis_overview.json,MAYO,Amyloidosis,overview.json,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178,,
MAYO_Amyloidosis_treatment.json,MAYO,Amyloidosis,treatment.json,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178,,
NHS_Amyloidosis_overview.json,NHS,Amyloidosis,overview.json,https://www.nhs.uk/conditions/amyloidosis/,,
MAYO_Amyotrophic lateral sclerosis (ALS)_overview.json,MAYO,Amyotrophic lateral sclerosis (ALS),overview.json,https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022,ALS,
MAYO_Amyotrophic lateral sclerosis (ALS)_treatment.json,MAYO,Amyotrophic lateral sclerosis (ALS),treatment.json,https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022,ALS,
NHS_Anabolic steroid misuse_overview.json,NHS,Anabolic steroid misuse,overview.json,https://www.nhs.uk/conditions/anabolic-steroid-misuse/,,Steroid misuse
NHS_Anaesthesia_overview.json,NHS,Anaesthesia,overview.json,https://www.nhs.uk/conditions/anaesthesia/,,
NHS_Anal cancer_overview.json,NHS,Anal cancer,overview.json,https://www.nhs.uk/conditions/anal-cancer/,,
MAYO_Anal cancer_treatment.json,MAYO,Anal cancer,treatment.json,https://www.mayoclinic.org/diseases-conditions/anal-cancer/symptoms-causes/syc-20354140,,
MAYO_Anal cancer_overview.json,MAYO,Anal cancer,overview.json,https://www.mayoclinic.org/diseases-conditions/anal-cancer/symptoms-causes/syc-20354140,,
NHS_Anal fissure_overview.json,NHS,Anal fissure,overview.json,https://www.nhs.uk/conditions/anal-fissure/,,
MAYO_Anal fissure_overview.json,MAYO,Anal fissure,overview.json,https://www.mayoclinic.org/diseases-conditions/anal-fissure/symptoms-causes/syc-20351424,,
NHS_Anal fissure_treatment.json,NHS,Anal fissure,treatment.json,https://www.nhs.uk/conditions/anal-fissure/,,
MAYO_Anal fissure_treatment.json,MAYO,Anal fissure,treatment.json,https://www.mayoclinic.org/diseases-conditions/anal-fissure/symptoms-causes/syc-20351424,,
MAYO_Anal fistula_overview.json,MAYO,Anal fistula,overview.json,https://www.mayoclinic.org/diseases-conditions/anal-fistula/symptoms-causes/syc-20352871,,
NHS_Anal fistula_overview.json,NHS,Anal fistula,overview.json,https://www.nhs.uk/conditions/anal-fistula/,,
NHS_Anal fistula_treatment.json,NHS,Anal fistula,treatment.json,https://www.nhs.uk/conditions/anal-fistula/,,
MAYO_Anal itching_treatment.json,MAYO,Anal itching,treatment.json,https://www.mayoclinic.org/diseases-conditions/anal-itching/symptoms-causes/syc-20369345,,
MAYO_Anal itching_overview.json,MAYO,Anal itching,overview.json,https://www.mayoclinic.org/diseases-conditions/anal-itching/symptoms-causes/syc-20369345,,
NHS_Anal pain_overview.json,NHS,Anal pain,overview.json,https://www.nhs.uk/conditions/anal-pain/,,Proctalgia
MAYO_Anaphylaxis_treatment.json,MAYO,Anaphylaxis,treatment.json,https://www.mayoclinic.org/diseases-conditions/anaphylaxis/symptoms-causes/syc-20351468,,
MAYO_Anaphylaxis_overview.json,MAYO,Anaphylaxis,overview.json,https://www.mayoclinic.org/diseases-conditions/anaphylaxis/symptoms-causes/syc-20351468,,
NHS_Anaphylaxis_treatment.json,NHS,Anaphylaxis,treatment.json,https://www.nhs.uk/conditions/anaphylaxis/,,
NHS_Anaphylaxis_overview.json,NHS,Anaphylaxis,overview.json,https://www.nhs.uk/conditions/anaphylaxis/,,
NHS_Androgen insensitivity syndrome_overview.json,NHS,Androgen insensitivity syndrome,overview.json,https://www.nhs.uk/conditions/androgen-insensitivity-syndrome/,,
MAYO_Anemia_treatment.json,MAYO,Anemia,treatment.json,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360,,
MAYO_Anemia_overview.json,MAYO,Anemia,overview.json,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360,,
MAYO_Aneurysms_overview.json,MAYO,Aneurysms,overview.json,https://www.mayoclinic.org/diseases-conditions/aneurysms/symptoms-causes/syc-20354633,,
NHS_Angelman syndrome_overview.json,NHS,Angelman syndrome,overview.json,https://www.nhs.uk/conditions/angelman-syndrome/,,
MAYO_Angelman syndrome_treatment.json,MAYO,Angelman syndrome,treatment.json,https://www.mayoclinic.org/diseases-conditions/angelman-syndrome/symptoms-causes/syc-20355621,,
MAYO_Angelman syndrome_overview.json,MAYO,Angelman syndrome,overview.json,https://www.mayoclinic.org/diseases-conditions/angelman-syndrome/symptoms-causes/syc-20355621,,
MAYO_Angina_overview.json,MAYO,Angina,overview.json,https://www.mayoclinic.org/diseases-conditions/angina/symptoms-causes/syc-20369373,,
NHS_Angina_treatment.json,NHS,Angina,treatment.json,https://www.nhs.uk/conditions/angina/,,
MAYO_Angina_treatment.json,MAYO,Angina,treatment.json,https://www.mayoclinic.org/diseases-conditions/angina/symptoms-causes/syc-20369373,,
NHS_Angina_overview.json,NHS,Angina,overview.json,https://www.nhs.uk/conditions/angina/,,
NHS_Angioedema_overview.json,NHS,Angioedema,overview.json,https://www.nhs.uk/conditions/angioedema/,,
NHS_Angioedema_treatment.json,NHS,Angioedema,treatment.json,https://www.nhs.uk/conditions/angioedema/,,
NHS_Angiography_overview.json,NHS,Angiography,overview.json,https://www.nhs.uk/conditions/angiography/,,
MAYO_Angiosarcoma_overview.json,MAYO,Angiosarcoma,overview.json,https://www.mayoclinic.org/diseases-conditions/angiosarcoma/symptoms-causes/syc-20350244,,
MAYO_Angiosarcoma_treatment.json,MAYO,Angiosarcoma,treatment.json,https://www.mayoclinic.org/diseases-conditions/angiosarcoma/symptoms-causes/syc-20350244,,
MAYO_Anhidrosis_overview.json,MAYO,Anhidrosis,overview.json,https://www.mayoclinic.org/diseases-conditions/anhidrosis/symptoms-causes/syc-20369400,,
