snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3
Polycythemia vera (disorder),109992005,Polycythemia vera,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738006,"It usually develops slowly, and you might have it for years without knowing.",MAYO,0.00038654812524159255,0.052377270970235784
Essential thrombocythemia (disorder),109994006,Essential thrombocythemia,PERMANENT,0.002304147465437788,Essential thrombocythemia is a chronic disease with no cure.,MAYO,0.00038654812524159255,0.16776188635485118
Myelodysplastic syndrome (disorder),109995007,Myelodysplastic syndrome (myelodysplasia),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,It can take a few months or up to several years before transformation takes place,NHS,0.00019327406262079628,0.05141090065713181
Concussion injury of brain (disorder),110030002,Concussion,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.04347826086956521,"If these symptoms persist beyond three months, this becomes characterized as post-concussion syndrome.",MAYO,0.00038654812524159255,0.00889060688055663
Clinical trial (procedure),110465008,Clinical trials,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,Trials often last a year or more and involve several thousand patients.,NHS,0.00019327406262079628,0.029377657518361036
Cataract surgery (procedure),110473004,Cataract surgery,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0064724919093851144,These side effects usually improve within a few days but it can take 4 to 6 weeks to recover fully.,NHS,0.0007730962504831851,0.11944337069965212
Bursitis of knee (disorder),111243002,Knee bursitis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,But most cases of knee bursitis result from friction and irritation of the bursa that occurs in jobs that require a lot of kneeling on hard surfaces — so symptoms usually begin gradually and can worsen over time.,MAYO,0.00019327406262079628,0.052377270970235784
Compartment syndrome (disorder),111245009,Compartment syndrome,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,usually passes within minutes of stopping the activity,NHS,0.00019327406262079628,0.18650947042906849
Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Legg-Calve-Perthes disease,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,Initial X-rays might look normal because it can take one to two months after symptoms begin for the changes associated with Legg-Calve-Perthes disease to become evident on X-rays.,MAYO,0.00019327406262079628,0.02338616157711635
Tricuspid valve regurgitation (disorder),111287006,Tricuspid valve regurgitation,PERMANENT,0.001152073732718894,"If you have a mechanical valve, you'll need to take blood-thinning medications for life to prevent blood clots.",MAYO,0.00019327406262079628,0.16776188635485118
Tay-Sachs disease (disorder),111385000,Tay-Sachs disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,"The condition is usually fatal by around 3 to 5 years of age, often due to complications of a lung infection (pneumonia).",NHS,0.00019327406262079628,0.052377270970235784
Hemolytic uremic syndrome (disorder),111407006,Hemolytic uremic syndrome (HUS),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"But timely and appropriate treatment usually leads to a full recovery for most people, especially young children.",MAYO,0.00019327406262079628,0.18650947042906849
Syringomyelia (disorder),111496009,Syringomyelia,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.011278195488721806,Months to years can pass after an injury before syringomyelia develops.,MAYO,0.0005798221878623889,0.05141090065713181
Benign paroxysmal positional vertigo (disorder),111541001,Benign paroxysmal positional vertigo (BPPV),IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,Benign paroxysmal positional vertigo may go away on its own within a few weeks or months.,MAYO,0.00019327406262079628,0.07518361035948977
Infection caused by Shigella (disorder),111817006,Shigella infection,IMPROVE FAST FROM 8 DAY TO 2 MONTH,0.05,"Signs and symptoms of shigella infection usually begin a day or two after contact with shigella, but may take up to a week to develop.",MAYO,0.00019327406262079628,0.003865481252415926
Viral gastroenteritis (disorder),111843007,Viral gastroenteritis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,"Depending on the cause, viral gastroenteritis symptoms may appear within one to three days after you're infected and can range from mild to severe.",MAYO,0.00019327406262079628,0.053343641283339766
Escherichia coli (organism),112283007,E. coli,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,coli illness within a week.,MAYO,0.00019327406262079628,0.053343641283339766
Homocystinuria (disorder),11282001,Homocystinuria,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,Babies born with HCU don't usually have any symptoms in the first year of their life,NHS,0.00019327406262079628,0.052377270970235784
Magnetic resonance imaging (procedure),113091000,MRI scan,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,,"The scan lasts 15 to 90 minutes, depending on the size of the area being scanned and how many images are taken.",NHS,,
Acne vulgaris (disorder),11381005,Acne,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.015037593984962403,Stress can make acne worse.,MAYO,0.0007730962504831851,0.05141090065713181
Cesarean section (procedure),11466000,Caesarean section,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.005141388174807198,"You'll probably be in hospital for 3 or 4 days after a caesarean section, and may need to take things easy for several weeks.",NHS,0.00038654812524159255,0.07518361035948977
Methicillin resistant Staphylococcus aureus (organism),115329001,MRSA,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,"Getting MRSA on your skin will not make you ill, and it may go away in a few hours, days, weeks or months without you noticing",NHS,0.00019327406262079628,0.07518361035948977
Otosclerosis (disorder),11543004,Otosclerosis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,"Your hearing usually gets worse gradually over months or a few years, and may continue to get worse if ignored and left untreated.",NHS,0.00019327406262079628,0.052377270970235784
Steroid (substance),116566001,Steroid cream,PERMANENT,0.001152073732718894,"Topical corticosteroids cannot cure these conditions, but can help relieve the symptoms.",NHS,0.00019327406262079628,0.16776188635485118
Gestational diabetes mellitus (disorder),11687002,Gestational diabetes,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,"You should have a blood test to check for diabetes 6 to 13 weeks after giving birth, and once every year after that if the result is normal.",NHS,0.00019327406262079628,0.11944337069965212
Actinomycotic infection (disorder),11817007,Actinomycosis,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812035,your symptoms get worse or don't improve after leaving hospital,NHS,0.00038654812524159255,0.05141090065713181
Traveler's diarrhea (disorder),11840006,Traveler's diarrhea,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.007246376811594203,Most cases improve within one to two days without treatment and clear up completely within a week.,MAYO,0.00038654812524159255,0.053343641283339766
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.005141388174807198,"Chemotherapy is usually given over a period of a few months on an outpatient basis, which means you shouldn't have to stay in hospital overnight",NHS,0.00038654812524159255,0.07518361035948977
Non-Hodgkin's lymphoma (disorder),118601006,Non-Hodgkin lymphoma,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.03448275862068965,Once the treatment is over the level of healthy cells goes back to normal over time.,NHS,0.00019327406262079628,0.005604947816003092
Hairy cell leukemia (disorder),118613001,Hairy cell leukemia,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812035,people who receive cladribine experience a complete remission that can last for several years.,MAYO,0.00038654812524159255,0.05141090065713181
Adenoid excision (procedure),119954001,Adenoidectomy,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,Most of these symptoms will pass within a few weeks,NHS,0.00019327406262079628,0.11944337069965212
Bronchiectasis (disorder),12295008,Bronchiectasis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738006,"Over time, this cycle can cause gradually worsening damage to the lungs.",NHS,0.00038654812524159255,0.052377270970235784
Androgen resistance syndrome (disorder),12313004,Androgen insensitivity syndrome,PERMANENT,0.001152073732718894,"Most people born with the condition are unable to have children, but they'll otherwise be perfectly healthy and able to lead a normal life.",NHS,0.00019327406262079628,0.16776188635485118
Vesicular eczema (disorder),123698008,Pompholyx (dyshidrotic eczema),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,"Sometimes pompholyx may just occur once and never come back, but it often comes and goes over several months or years",NHS,0.00019327406262079628,0.05141090065713181
Scar (morphologic abnormality),12402003,Scars,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.013157894736842105,"To be effective, silicone gels or sheets should be placed over the scar for 12 hours a day for at least three months",NHS,0.00038654812524159255,0.029377657518361036
Mast cell hyperplasia (morphologic abnormality),125541005,Mastocytosis,PERMANENT,0.002304147465437788,"There's no cure for mastocytosis, so the aim of treatment is to try to relieve the symptoms.",NHS,0.00038654812524159255,0.16776188635485118
Burn (disorder),125666000,Burns,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.05555555555555555,It can take a day or two for the signs and symptoms of a severe burn to develop.,MAYO,0.00019327406262079628,0.0034789331271743327
Familial Mediterranean fever (disorder),12579009,Familial Mediterranean fever,PERMANENT,0.002304147465437788,"While there's no cure for this disorder, you may be able to relieve signs and symptoms of familial Mediterranean fever — or even prevent them altogether — by sticking to your treatment plan.",MAYO,0.00038654812524159255,0.16776188635485118
Deviated nasal septum (disorder),126660000,Deviated septum,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,You may be able to prevent the injuries to your nose that can cause a deviated septum with these precautions:,MAYO,0.00019327406262079628,0.18650947042906849
Neoplasm of gallbladder (disorder),126854002,Gallbladder cancer,PERMANENT,0.002304147465437788,"The aim of these operations is to help improve your symptoms, not to cure the cancer.",NHS,0.00038654812524159255,0.16776188635485118
Acoustic neuroma (disorder),126949007,Acoustic neuroma,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738006,Acoustic neuroma is often difficult to diagnose in the early stages because signs and symptoms may be subtle and develop gradually over time.,MAYO,0.00038654812524159255,0.052377270970235784
Neoplasm of spinal cord (disorder),126962006,Spinal cord tumor,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925572,"from spinal surgery may take weeks or longer, depending on the procedure.",MAYO,0.00038654812524159255,0.11944337069965212
Disorder of kidney co-occurrent and due to diabetes mellitus (disorder),127013003,Diabetic nephropathy,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738006,"Over many years, the condition slowly damages your kidneys' delicate filtering system.",MAYO,0.00038654812524159255,0.052377270970235784
Sickle cell-hemoglobin SS disease (disorder),127040003,Sickle cell anemia,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0048543689320388345,"But sickle cells usually die in 10 to 20 days, leaving a shortage of red blood cells (anemia).",MAYO,0.0005798221878623889,0.11944337069965212
Erythrocytosis (disorder),127062003,Polycythaemia,PERMANENT,0.001152073732718894,"If well controlled, polycythaemia should not affect your life expectancy, and you should be able to live a normal life",NHS,0.00019327406262079628,0.16776188635485118
Traumatic brain injury (disorder),127295002,Traumatic brain injury,DECLINE SLOWLY FROM 6 MONTH TO 1 YEAR,0.08333333333333333,"Parkinson's disease, a progressive condition that causes movement problems, such as tremors, rigidity and slow movements",MAYO,0.00019327406262079628,0.0023192887514495554
Everted margin (morphologic abnormality),127559009,Ectropion,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,You can expect the swelling and bruising to fade in about two weeks.,MAYO,0.00019327406262079628,0.11944337069965212
Spirometry (procedure),127783003,Spirometry,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.002072538860103627,"Overall, your appointment should last around 30 to 90 minutes",NHS,0.00038654812524159255,0.18650947042906849
Cellulitis (disorder),128045006,Cellulitis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,"In most cases, signs and symptoms of cellulitis disappear after a few days.",MAYO,0.00019327406262079628,0.053343641283339766
Deep venous thrombosis (disorder),128053003,Deep vein thrombosis,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.016528925619834708,might need to take blood thinner pills for three months or longer.,MAYO,0.00038654812524159255,0.02338616157711635
Venous varices (disorder),128060009,Varicose veins,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,Varicose veins that develop during pregnancy generally improve without medical treatment within three to 12 months after delivery.,MAYO,0.00019327406262079628,0.029377657518361036
von Willebrand disorder (disorder),128105004,Von Willebrand disease,PERMANENT,0.0069124423963133645,Von Willebrand disease (VWD) is a common inherited condition that can sometimes cause heavy bleeding.,NHS,0.0011596443757247775,0.16776188635485118
Cerebral palsy (disorder),128188000,Cerebral palsy,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,"For some types of surgery it can take months or even years for the full benefits to be achieved, and extensive physiotherapy may be needed to help with recovery.",NHS,0.00019327406262079628,0.05141090065713181
Complex regional pain syndrome (disorder),128200000,Complex regional pain syndrome,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738006,CRPS often gradually improves over time,NHS,0.00038654812524159255,0.052377270970235784
Thoracic outlet syndrome (disorder),128210009,Thoracic outlet syndrome,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,"Thoracic outlet syndrome that goes untreated for years can cause permanent neurological damage, so it's important to have your symptoms evaluated and treated early, or take steps to prevent the disorder.",MAYO,0.00019327406262079628,0.05141090065713181
Inflammatory disease of liver (disorder),128241005,Hepatitis,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.005141388174807198,"Hepatitis A usually passes within a few months, although it can occasionally be severe and even life threatening.",NHS,0.00038654812524159255,0.07518361035948977
Cataract (morphologic abnormality),128306009,Cataracts,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,Healing generally occurs within eight weeks.,MAYO,0.00019327406262079628,0.11944337069965212
Uveitis (disorder),128473001,Uveitis,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH,0.03225806451612903,The frequency of drops will usually be slowly reduced over a number of weeks,NHS,0.00019327406262079628,0.005991495941244685
Abscess (disorder),128477000,Abscess,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,"This procedure may be carried out as a day case procedure, which means you'll be able to go home the same day, although some people will need to stay in hospital for a few days.",NHS,0.00019327406262079628,0.053343641283339766
Medium-chain acyl-coenzyme A dehydrogenase deficiency (disorder),128596003,MCAD deficiency,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,Fasting time may be gradually increased up to 12 hours by one year of age.,MAYO,0.00019327406262079628,0.05141090065713181
Intracranial aneurysm (disorder),128609009,Brain aneurysm,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,"After clipping, you'll usually need to stay in hospital for around 4 to 6 days, whereas you can usually go home 1 or 2 days after coiling.",NHS,0.00019327406262079628,0.053343641283339766
Arteriovenous fistula (morphologic abnormality),128617001,Arteriovenous fistula,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,Many people who have catheter embolization stay in the hospital for less than a day and can resume daily activities within a week.,MAYO,0.00019327406262079628,0.053343641283339766
Myelodysplastic syndrome (morphologic abnormality),128623006,Myelodysplastic syndrome (myelodysplasia),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,It can take a few months or up to several years before transformation takes place,NHS,0.00019327406262079628,0.05141090065713181
Precursor cell lymphoblastic leukemia (morphologic abnormality),128822004,Acute lymphoblastic leukaemia,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,"Depending on how well you respond to treatment, the remission induction phase can last from 2 weeks to several months.",NHS,0.00019327406262079628,0.02338616157711635
Infestation caused by Sarcoptes scabiei var hominis (disorder),128869009,Scabies,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925572,"If you've never had scabies, it can take as long as six weeks for signs and symptoms to begin.",MAYO,0.00038654812524159255,0.11944337069965212
Endometriosis (disorder),129103003,Endometriosis,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,You would normally take them for 3 months before your surgery,NHS,0.00019327406262079628,0.029377657518361036
Infection of ear (disorder),129127001,Ear infections,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,"Most ear infections clear up within 3 days, although sometimes symptoms can last up to a week.",NHS,0.00019327406262079628,0.053343641283339766
Infectious disorder of kidney (disorder),129128006,Kidney infection,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.05555555555555555,"Usually, the signs and symptoms of a kidney infection begin to clear up within a few days of treatment.",MAYO,0.00019327406262079628,0.0034789331271743327
Needle biopsy (procedure),129249002,Needle biopsy,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,"You may feel some mild pain or discomfort in the area, but this should go away in a day or two.",MAYO,0.00019327406262079628,0.053343641283339766
Acid chemical burn (morphologic abnormality),12944000,Acid and chemical burns,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,More severe and deeper burns can take months or even years to fully heal and usually leave some visible scarring,NHS,0.00019327406262079628,0.05141090065713181
Histoplasmosis (disorder),12962009,Histoplasmosis,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,"If you have a severe form of the disease, you might need to continue to take medications for three months to a year.",MAYO,0.00019327406262079628,0.07518361035948977
Ovarian hyperstimulation syndrome (disorder),129635004,Ovarian hyperstimulation syndrome,IMPROVE FAST FROM 8 DAY TO 2 MONTH,0.05,Ovarian hyperstimulation syndrome generally resolves on its own within a week or two or somewhat longer if you're pregnant.,MAYO,0.00019327406262079628,0.003865481252415926
Congenital heart disease (disorder),13213009,Congenital heart disease,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.05555555555555555,The first stage is usually performed during the first few days of life,NHS,0.00019327406262079628,0.0034789331271743327
Induratio penis plastica (disorder),1335005,Peyronie's disease,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.01973684210526316,The chronic phase happens later in the disease and generally occurs around three to 12 months after symptoms begin.,MAYO,0.0005798221878623889,0.029377657518361036
Basal cell carcinoma (morphologic abnormality),1338007,Skin cancer (non-melanoma),DECLINE MODERATELY FROM 2 MONTH TO 6 MONTH,0.06666666666666665,The first sign of non-melanoma skin cancer is usually the appearance of a lump or discoloured patch on the skin that persists after a few weeks and slowly progresses over months or sometimes years,NHS,0.00019327406262079628,0.0028991109393119445
Postoperative care (regime/therapy),133899007,Enhanced recovery,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.002072538860103627,This will help speed up your recovery and enable you to be discharged from hospital as soon as possible,NHS,0.00038654812524159255,0.18650947042906849
Burn care (regime/therapy),133901003,Burns,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.05555555555555555,It can take a day or two for the signs and symptoms of a severe burn to develop.,MAYO,0.00019327406262079628,0.0034789331271743327
Prolactinoma (disorder),134209002,Prolactinoma,PERMANENT,0.001152073732718894,"However, long-term treatment with medications is generally necessary.",MAYO,0.00019327406262079628,0.16776188635485118
Incised wound - morphology (morphologic abnormality),134352000,Cuts and grazes,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,Minor wounds should start to heal within a few days.,NHS,0.00019327406262079628,0.053343641283339766
Ménière's disease (disorder),13445001,Meniere's disease,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812035,"Living and Loving Out LoudAffected by hearing loss for years, Jerry and Madalaine McDaniel created a world for themselves that revolved around their quiet home environment.",MAYO,0.00038654812524159255,0.05141090065713181
Hamstring injury (disorder),135851009,Hamstring injury,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,A completely torn hamstring may take several months to heal and you'll be unable to resume training or play sport during this time.,NHS,0.00019327406262079628,0.02338616157711635
Hypercholesterolemia (disorder),13644009,High cholesterol,PERMANENT,0.001152073732718894,The same heart-healthy lifestyle changes that can lower your cholesterol can help prevent you from having high cholesterol in the first place.,MAYO,0.00019327406262079628,0.16776188635485118
Chronic obstructive lung disease (disorder),13645005,COPD,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,"Although COPD is a progressive disease that gets worse over time, COPD is treatable.",MAYO,0.00019327406262079628,0.052377270970235784
Brachycephaly (disorder),13649004,Plagiocephaly and brachycephaly (flat head syndrome),IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,"Treatment is started when the child's skull is still soft, usually at around 5 or 6 months old, and the device is worn almost continuously (up to 23 hours a day) for several months.",NHS,0.00019327406262079628,0.02338616157711635
Arthroscopy (procedure),13714004,Arthroscopy,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,"Some people feel better after a few days, while others may not be back to normal for several months.",NHS,0.00019327406262079628,0.029377657518361036
Bipolar disorder (disorder),13746004,Bipolar disorder,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.010282776349614395,"This process requires patience, as some medications need weeks to months to take full effect.",MAYO,0.0007730962504831851,0.07518361035948977
Anaplasmosis (disorder),13906002,Ehrlichiosis,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,"These methods may make matters worse by triggering the tick to release more of its bodily fluids, and that could cause further infection.",MAYO,0.00019327406262079628,0.05141090065713181
Acute nontraumatic kidney injury (disorder),140031000119103,Acute kidney injury,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,You may need to go to hospital for some treatments.,NHS,0.00019327406262079628,0.18650947042906849
Measles (disorder),14189004,Measles,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.04347826086956521,This relatively mild illness may last two or three days.,MAYO,0.00019327406262079628,0.004445303440278315
"Hodgkin lymphoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",14537002,Hodgkin lymphoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.005141388174807198,"Chemotherapy is usually given over a period of a few months on an outpatient basis, which means you shouldn't have to stay in hospital overnight",NHS,0.00038654812524159255,0.07518361035948977
Acute renal failure syndrome (disorder),14669001,Acute kidney failure,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"In some cases, you may be able to recover at home.",MAYO,0.00019327406262079628,0.18650947042906849
Herpes labialis (disorder),1475003,Cold sore,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,"The sores can last several days, and the blisters can take two to three weeks to heal completely.",MAYO,0.00019327406262079628,0.02338616157711635
Constipation (finding),14760008,Constipation,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,Constipation may be considered chronic if you've experienced two or more of these symptoms for the last three months.,MAYO,0.00019327406262079628,0.02338616157711635
