source,conditionName,url,alsoKnownAs,overviewFile,treatmentFile,treatmentURL
MAYO,Acute sinusitis,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,,Acute sinusitis_overview.html,Acute sinusitis,Acute sinusitis_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-sinusitis/diagnosis-treatment/drc-20351677
MAYO,Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,"Addiction, alcohol, also known as",Alcohol use disorder_overview.html,Alcohol use disorder,Alcohol use disorder_treatment.html,https://www.mayoclinic.org//diseases-conditions/alcohol-use-disorder/diagnosis-treatment/drc-20369250
MAYO,Drug addiction (substance use disorder),https://www.mayoclinic.org/diseases-conditions/drug-addiction/symptoms-causes/syc-20365112,"Addiction, drug, also known as",Drug addiction (substance use disorder)_overview.html,Drug addiction (substance use disorder),Drug addiction (substance use disorder)_treatment.html,https://www.mayoclinic.org//diseases-conditions/drug-addiction/diagnosis-treatment/drc-20365113
MAYO,Compulsive gambling,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178,"Addiction, gambling, also known as",Compulsive gambling_overview.html,Compulsive gambling,Compulsive gambling_treatment.html,https://www.mayoclinic.org//diseases-conditions/compulsive-gambling/diagnosis-treatment/drc-20355184
MAYO,Nicotine dependence,https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/symptoms-causes/syc-20351584,"Addiction, nicotine, also known as",Nicotine dependence_overview.html,Nicotine dependence,Nicotine dependence_treatment.html,https://www.mayoclinic.org//diseases-conditions/nicotine-dependence/diagnosis-treatment/drc-20351590
MAYO,Addison's disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293,,Addison's disease_overview.html,Addison's disease,Addison's disease_treatment.html,https://www.mayoclinic.org//diseases-conditions/addisons-disease/diagnosis-treatment/drc-20350296
MAYO,Mesenteric lymphadenitis,https://www.mayoclinic.org/diseases-conditions/mesenteric-lymphadenitis/symptoms-causes/syc-20353799,"Adenitis, mesenteric, also known as",Mesenteric lymphadenitis_overview.html,Mesenteric lymphadenitis,Mesenteric lymphadenitis_treatment.html,https://www.mayoclinic.org//diseases-conditions/mesenteric-lymphadenitis/diagnosis-treatment/drc-20353803
MAYO,Adenomyosis,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,,Adenomyosis_overview.html,Adenomyosis,Adenomyosis_treatment.html,https://www.mayoclinic.org//diseases-conditions/adenomyosis/diagnosis-treatment/drc-20369143
MAYO,Attention-deficithyperactivity disorder (ADHD) in children,https://www.mayoclinic.org/diseases-conditions/adhd/symptoms-causes/syc-20350889,"ADHD in children, also known as",Attention-deficithyperactivity disorder (ADHD) in children_overview.html,Attention-deficithyperactivity disorder (ADHD) in children,Attention-deficithyperactivity disorder (ADHD) in children_treatment.html,https://www.mayoclinic.org//diseases-conditions/adhd/diagnosis-treatment/drc-20350895
MAYO,Adult attention-deficithyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,"ADHD, Adult, also known as",Adult attention-deficithyperactivity disorder (ADHD)_overview.html,Adult attention-deficithyperactivity disorder (ADHD),Adult attention-deficithyperactivity disorder (ADHD)_treatment.html,https://www.mayoclinic.org//diseases-conditions/adult-adhd/diagnosis-treatment/drc-20350883
MAYO,Frozen shoulder,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/symptoms-causes/syc-20372684,"Adhesive capsulitis, also known as",Frozen shoulder_overview.html,Frozen shoulder,Frozen shoulder_treatment.html,https://www.mayoclinic.org//diseases-conditions/frozen-shoulder/diagnosis-treatment/drc-20372690
MAYO,Adjustment disorders,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224,,Adjustment disorders_overview.html,Adjustment disorders,Adjustment disorders_treatment.html,https://www.mayoclinic.org//diseases-conditions/adjustment-disorders/diagnosis-treatment/drc-20355230
MAYO,Adnexal tumors,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053,,Adnexal tumors_overview.html
MAYO,Childhood schizophrenia,https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/symptoms-causes/syc-20354483,"Adolescent schizophrenia, also known as",Childhood schizophrenia_overview.html,Childhood schizophrenia,Childhood schizophrenia_treatment.html,https://www.mayoclinic.org//diseases-conditions/childhood-schizophrenia/diagnosis-treatment/drc-20354489
MAYO,Adrenal cancer,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026,,Adrenal cancer_overview.html,Adrenal cancer,Adrenal cancer_treatment.html,https://www.mayoclinic.org//diseases-conditions/adrenal-cancer/diagnosis-treatment/drc-20446405
MAYO,Pheochromocytoma,https://www.mayoclinic.org/diseases-conditions/pheochromocytoma/symptoms-causes/syc-20355367,"Adrenal gland tumor, also known as",Pheochromocytoma_overview.html,Pheochromocytoma,Pheochromocytoma_treatment.html,https://www.mayoclinic.org//diseases-conditions/pheochromocytoma/diagnosis-treatment/drc-20355372
MAYO,Benign adrenal tumors,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/symptoms-causes/syc-20356190,"Adrenal mass, also known as",Benign adrenal tumors_overview.html
MAYO,Adrenoleukodystrophy,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157,,Adrenoleukodystrophy_overview.html,Adrenoleukodystrophy,Adrenoleukodystrophy_treatment.html,https://www.mayoclinic.org//diseases-conditions/adrenoleukodystrophy/diagnosis-treatment/drc-20369160
MAYO,Adult attention-deficithyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,,Adult attention-deficithyperactivity disorder (ADHD)_overview.html,Adult attention-deficithyperactivity disorder (ADHD),Adult attention-deficithyperactivity disorder (ADHD)_treatment.html,https://www.mayoclinic.org//diseases-conditions/adult-adhd/diagnosis-treatment/drc-20350883
MAYO,Adult Still's disease,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907,,Adult Still's disease_overview.html,Adult Still's disease,Adult Still's disease_treatment.html,https://www.mayoclinic.org//diseases-conditions/adult-stills-disease/diagnosis-treatment/drc-20351912
MAYO,Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046,"AFM, also known as",Acute flaccid myelitis (AFM)_overview.html,Acute flaccid myelitis (AFM),Acute flaccid myelitis (AFM)_treatment.html,https://www.mayoclinic.org//diseases-conditions/acute-flaccid-myelitis/diagnosis-treatment/drc-20493060
MAYO,Age spots (liver spots),https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859,,Age spots (liver spots)_overview.html,Age spots (liver spots),Age spots (liver spots)_treatment.html,https://www.mayoclinic.org//diseases-conditions/age-spots/diagnosis-treatment/drc-20355864
MAYO,Dry macular degeneration,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375,"Age-related macular degeneration, dry, also known as",Dry macular degeneration_overview.html,Dry macular degeneration,Dry macular degeneration_treatment.html,https://www.mayoclinic.org//diseases-conditions/dry-macular-degeneration/diagnosis-treatment/drc-20350381
MAYO,Wet macular degeneration,https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/symptoms-causes/syc-20351107,"Age-related macular degeneration, wet, also known as",Wet macular degeneration_overview.html,Wet macular degeneration,Wet macular degeneration_treatment.html,https://www.mayoclinic.org//diseases-conditions/wet-macular-degeneration/diagnosis-treatment/drc-20351113
MAYO,Myelofibrosis,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/symptoms-causes/syc-20355057,"Agnogenic myeloid metaplasia, also known as",Myelofibrosis_overview.html,Myelofibrosis,Myelofibrosis_treatment.html,https://www.mayoclinic.org//diseases-conditions/myelofibrosis/diagnosis-treatment/drc-20355062
MAYO,Agoraphobia,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987,,Agoraphobia_overview.html,Agoraphobia,Agoraphobia_treatment.html,https://www.mayoclinic.org//diseases-conditions/agoraphobia/diagnosis-treatment/drc-20355993
MAYO,Guillain-Barre syndrome,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,"AIDP, also known as",Guillain-Barre syndrome_overview.html,Guillain-Barre syndrome,Guillain-Barre syndrome_treatment.html,https://www.mayoclinic.org//diseases-conditions/guillain-barre-syndrome/diagnosis-treatment/drc-20363006
MAYO,HIVAIDS,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,"AIDS/HIV, also known as",HIVAIDS_overview.html,HIVAIDS,HIVAIDS_treatment.html,https://www.mayoclinic.org//diseases-conditions/hiv-aids/diagnosis-treatment/drc-20373531
MAYO,Airplane ear,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701,,Airplane ear_overview.html,Airplane ear,Airplane ear_treatment.html,https://www.mayoclinic.org//diseases-conditions/airplane-ear/diagnosis-treatment/drc-20351707
MAYO,Albinism,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184,,Albinism_overview.html,Albinism,Albinism_treatment.html,https://www.mayoclinic.org//diseases-conditions/albinism/diagnosis-treatment/drc-20369189
MAYO,Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,"Alcohol addiction, also known as",Alcohol use disorder_overview.html,Alcohol use disorder,Alcohol use disorder_treatment.html,https://www.mayoclinic.org//diseases-conditions/alcohol-use-disorder/diagnosis-treatment/drc-20369250
MAYO,Alcohol intolerance,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211,,Alcohol intolerance_overview.html,Alcohol intolerance,Alcohol intolerance_treatment.html,https://www.mayoclinic.org//diseases-conditions/alcohol-intolerance/diagnosis-treatment/drc-20369215
MAYO,Alcohol poisoning,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386,,Alcohol poisoning_overview.html,Alcohol poisoning,Alcohol poisoning_treatment.html,https://www.mayoclinic.org//diseases-conditions/alcohol-poisoning/diagnosis-treatment/drc-20354392
MAYO,Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,,Alcohol use disorder_overview.html,Alcohol use disorder,Alcohol use disorder_treatment.html,https://www.mayoclinic.org//diseases-conditions/alcohol-use-disorder/diagnosis-treatment/drc-20369250
MAYO,Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,,Alcoholic hepatitis_overview.html,Alcoholic hepatitis,Alcoholic hepatitis_treatment.html,https://www.mayoclinic.org//diseases-conditions/alcoholic-hepatitis/diagnosis-treatment/drc-20351394
MAYO,Primary aldosteronism,https://www.mayoclinic.org/diseases-conditions/primary-aldosteronism/symptoms-causes/syc-20351803,"Aldosteronoma, also known as",Primary aldosteronism_overview.html,Primary aldosteronism,Primary aldosteronism_treatment.html,https://www.mayoclinic.org//diseases-conditions/primary-aldosteronism/diagnosis-treatment/drc-20351807
MAYO,Churg-Strauss syndrome,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760,"Allergic granulomatosis, also known as",Churg-Strauss syndrome_overview.html,Churg-Strauss syndrome,Churg-Strauss syndrome_treatment.html,https://www.mayoclinic.org//diseases-conditions/churg-strauss-syndrome/diagnosis-treatment/drc-20353765
MAYO,Churg-Strauss syndrome,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760,"Allergic granulomatosis and angiitis, also known as",Churg-Strauss syndrome_overview.html,Churg-Strauss syndrome,Churg-Strauss syndrome_treatment.html,https://www.mayoclinic.org//diseases-conditions/churg-strauss-syndrome/diagnosis-treatment/drc-20353765
MAYO,Hay fever,https://www.mayoclinic.org/diseases-conditions/hay-fever/symptoms-causes/syc-20373039,"Allergic rhinitis, also known as",Hay fever_overview.html,Hay fever,Hay fever_treatment.html,https://www.mayoclinic.org//diseases-conditions/hay-fever/diagnosis-treatment/drc-20373045
MAYO,Allergies,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,,Allergies_overview.html,Allergies,Allergies_treatment.html,https://www.mayoclinic.org//diseases-conditions/allergies/diagnosis-treatment/drc-20351503
MAYO,Dust mite allergy,https://www.mayoclinic.org/diseases-conditions/dust-mites/symptoms-causes/syc-20352173,"Allergy, dust mite, also known as",Dust mite allergy_overview.html,Dust mite allergy,Dust mite allergy_treatment.html,https://www.mayoclinic.org//diseases-conditions/dust-mites/diagnosis-treatment/drc-20352178
MAYO,Egg allergy,https://www.mayoclinic.org/diseases-conditions/egg-allergy/symptoms-causes/syc-20372115,"Allergy, egg, also known as",Egg allergy_overview.html,Egg allergy,Egg allergy_treatment.html,https://www.mayoclinic.org//diseases-conditions/egg-allergy/diagnosis-treatment/drc-20372119
MAYO,Food allergy,https://www.mayoclinic.org/diseases-conditions/food-allergy/symptoms-causes/syc-20355095,"Allergy, food, also known as",Food allergy_overview.html,Food allergy,Food allergy_treatment.html,https://www.mayoclinic.org//diseases-conditions/food-allergy/diagnosis-treatment/drc-20355101
MAYO,Latex allergy,https://www.mayoclinic.org/diseases-conditions/latex-allergy/symptoms-causes/syc-20374287,"Allergy, latex, also known as",Latex allergy_overview.html,Latex allergy,Latex allergy_treatment.html,https://www.mayoclinic.org//diseases-conditions/latex-allergy/diagnosis-treatment/drc-20374291
MAYO,Milk allergy,https://www.mayoclinic.org/diseases-conditions/milk-allergy/symptoms-causes/syc-20375101,"Allergy, milk, also known as",Milk allergy_overview.html,Milk allergy,Milk allergy_treatment.html,https://www.mayoclinic.org//diseases-conditions/milk-allergy/diagnosis-treatment/drc-20375106
MAYO,Mold allergy,https://www.mayoclinic.org/diseases-conditions/mold-allergy/symptoms-causes/syc-20351519,"Allergy, mold, also known as",Mold allergy_overview.html,Mold allergy,Mold allergy_treatment.html,https://www.mayoclinic.org//diseases-conditions/mold-allergy/diagnosis-treatment/drc-20351525
MAYO,Nickel allergy,https://www.mayoclinic.org/diseases-conditions/nickel-allergy/symptoms-causes/syc-20351529,"Allergy, nickel, also known as",Nickel allergy_overview.html,Nickel allergy,Nickel allergy_treatment.html,https://www.mayoclinic.org//diseases-conditions/nickel-allergy/diagnosis-treatment/drc-20351534
MAYO,Peanut allergy,https://www.mayoclinic.org/diseases-conditions/peanut-allergy/symptoms-causes/syc-20376175,"Allergy, peanut, also known as",Peanut allergy_overview.html,Peanut allergy,Peanut allergy_treatment.html,https://www.mayoclinic.org//diseases-conditions/peanut-allergy/diagnosis-treatment/drc-20376181
MAYO,Penicillin allergy,https://www.mayoclinic.org/diseases-conditions/penicillin-allergy/symptoms-causes/syc-20376222,"Allergy, penicillin, also known as",Penicillin allergy_overview.html,Penicillin allergy,Penicillin allergy_treatment.html,https://www.mayoclinic.org//diseases-conditions/penicillin-allergy/diagnosis-treatment/drc-20376226
MAYO,Pet allergy,https://www.mayoclinic.org/diseases-conditions/pet-allergy/symptoms-causes/syc-20352192,"Allergy, pet, also known as",Pet allergy_overview.html,Pet allergy,Pet allergy_treatment.html,https://www.mayoclinic.org//diseases-conditions/pet-allergy/diagnosis-treatment/drc-20352198
MAYO,Shellfish allergy,https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/symptoms-causes/syc-20377503,"Allergy, shellfish, also known as",Shellfish allergy_overview.html,Shellfish allergy,Shellfish allergy_treatment.html,https://www.mayoclinic.org//diseases-conditions/shellfish-allergy/diagnosis-treatment/drc-20377507
