snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3,L1,L2,L3
Kaposi's sarcoma (disorder),109385007,Kaposi's sarcoma,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,Lesions treated in any of these ways are likely to return within a couple of years.,MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Kaposi's sarcoma (disorder),109385007,Kaposi's sarcoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Without treatment, most types of Kaposi's sarcoma get worse quickly, in a number of weeks or months",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,pc
Kaposi's sarcoma (disorder),109385007,Kaposi's sarcoma,PERMANENT,0.0011520737327188,"It may not be possible to cure Kaposi's sarcoma completely, and there's always a chance it could come back in the future.",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,correct
Complete avulsion of tooth (disorder),109671008,Knocked-out tooth,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,You'll probably need to go back after a couple of weeks to have the splint removed.,NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,pi
Multiple myeloma (disorder),109989006,Multiple myeloma,PERMANENT,0.0057603686635944,Treatment for multiple myeloma can often help to control symptoms and improve quality of life,NHS,0.0009663703131039,0.1677618863548511,PERMANENT,,,pi
Multiple myeloma (disorder),109989006,Multiple myeloma,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0031088082901554,"If your myeloma recurs or doesn't respond to treatment,",MAYO,0.0005798221878623,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Polycythemia vera (disorder),109992005,Polycythemia vera,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"It usually develops slowly, and you might have it for years without knowing.",MAYO,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,correct
Polycythemia vera (disorder),109992005,Polycythemia vera,PERMANENT,0.0011520737327188,There's no cure for polycythemia vera.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,pc
Essential thrombocythemia (disorder),109994006,Essential thrombocythemia,PERMANENT,0.0023041474654377,Essential thrombocythemia is a chronic disease with no cure.,MAYO,0.0003865481252415,0.1677618863548511,PERMANENT,,,pc
Myelodysplastic syndrome (disorder),109995007,Myelodysplastic syndrome (myelodysplasia),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,It can take a few months or up to several years before transformation takes place,NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pc
Myelodysplastic syndrome (disorder),109995007,Myelodysplastic syndrome (myelodysplasia),DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"For most people, symptoms are mild at first and slowly get worse",NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pc
Myelodysplastic syndrome (disorder),109995007,Myelodysplastic syndrome (myelodysplasia),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,The aim of treatment is to get the number and type of blood cells in your bloodstream back to normal and manage your symptoms.,NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Myelodysplastic syndrome (disorder),109995007,Myelodysplastic syndrome (myelodysplasia),PERMANENT,0.0011520737327188,"It can sometimes cure MDS, but isn't suitable for everyone.",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Concussion injury of brain (disorder),110030002,Concussion,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0434782608695652,"If these symptoms persist beyond three months, this becomes characterized as post-concussion syndrome.",MAYO,0.0003865481252415,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR,pi
Concussion injury of brain (disorder),110030002,Concussion,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0064724919093851,"Symptoms can last for days, weeks or even longer.",MAYO,0.0007730962504831,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,pc
Concussion injury of brain (disorder),110030002,Concussion,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,A headache that gets worse over time,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,incorrect
Concussion injury of brain (disorder),110030002,Concussion,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"In the first few days after a concussion, relative rest is the most appropriate way to allow your brain to recover.",MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,pc
Concussion injury of brain (disorder),110030002,Concussion,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0031088082901554,Signs of a concussion usually appear within a few minutes or hours of a head injury.,NHS,0.0005798221878623,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pc
Clinical trial (procedure),110465008,Clinical trials,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,Trials often last a year or more and involve several thousand patients.,NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,incorrect
Cataract surgery (procedure),110473004,Cataract surgery,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0064724919093851,These side effects usually improve within a few days but it can take 4 to 6 weeks to recover fully.,NHS,0.0007730962504831,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,correct
Cataract surgery (procedure),110473004,Cataract surgery,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.005181347150259,You should be able to go home on the same day as your cataract surgery.,NHS,0.0009663703131039,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Cataract surgery (procedure),110473004,Cataract surgery,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,Cataracts usually get slowly worse over time,NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,incorrect
Cataract surgery (procedure),110473004,Cataract surgery,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"Feeling should start to return to your eye within a few hours of surgery, but it may take a few days for your vision to fully return.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,pc
Bursitis of knee (disorder),111243002,Knee bursitis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,But most cases of knee bursitis result from friction and irritation of the bursa that occurs in jobs that require a lot of kneeling on hard surfaces — so symptoms usually begin gradually and can worsen over time.,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,incorrect
Bursitis of knee (disorder),111243002,Knee bursitis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"The inflammation usually subsides rapidly, but you might have pain and swelling from the injection for a couple of days.",MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,incorrect
Compartment syndrome (disorder),111245009,Compartment syndrome,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,usually passes within minutes of stopping the activity,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Compartment syndrome (disorder),111245009,Compartment syndrome,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,usually passes within minutes of stopping the activity,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Legg-Calve-Perthes disease,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,Initial X-rays might look normal because it can take one to two months after symptoms begin for the changes associated with Legg-Calve-Perthes disease to become evident on X-rays.,MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,ncni
Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Legg-Calve-Perthes disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"The complete process of bone death, fracture and renewal can take several years.",MAYO,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Legg-Calve-Perthes disease,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,Initial X-rays might look normal because it can take one to two months after symptoms begin for the changes associated with Legg-Calve-Perthes disease to become evident on X-rays.,MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,ncni
Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Legg-Calve-Perthes disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"The complete process of bone death, fracture and renewal can take several years.",MAYO,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Tricuspid valve regurgitation (disorder),111287006,Tricuspid valve regurgitation,PERMANENT,0.0011520737327188,"If you have a mechanical valve, you'll need to take blood-thinning medications for life to prevent blood clots.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Tricuspid valve regurgitation (disorder),111287006,Tricuspid valve regurgitation,PERMANENT,0.0011520737327188,"If you have a mechanical valve, you'll need to take blood-thinning medications for life to prevent blood clots.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Tay-Sachs disease (disorder),111385000,Tay-Sachs disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"The condition is usually fatal by around 3 to 5 years of age, often due to complications of a lung infection (pneumonia).",NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Tay-Sachs disease (disorder),111385000,Tay-Sachs disease,PERMANENT,0.0023041474654377,There's currently no cure for Tay-Sachs disease,NHS,0.0003865481252415,0.1677618863548511,PERMANENT,,,ncni
Hemolytic uremic syndrome (disorder),111407006,Hemolytic uremic syndrome (HUS),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"But timely and appropriate treatment usually leads to a full recovery for most people, especially young children.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Syringomyelia (disorder),111496009,Syringomyelia,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0112781954887218,Months to years can pass after an injury before syringomyelia develops.,MAYO,0.0005798221878623,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Syringomyelia (disorder),111496009,Syringomyelia,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,Syringomyelia symptoms usually develop slowly over time.,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Benign paroxysmal positional vertigo (disorder),111541001,Benign paroxysmal positional vertigo (BPPV),IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,Benign paroxysmal positional vertigo may go away on its own within a few weeks or months.,MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,ncni
Benign paroxysmal positional vertigo (disorder),111541001,Benign paroxysmal positional vertigo (BPPV),PERMANENT,0.0011520737327188,"Fortunately, although there's no cure, the condition can be managed with physical therapy and home treatments.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Infection caused by Shigella (disorder),111817006,Shigella infection,IMPROVE FAST FROM 8 DAY TO 2 MONTH,0.05,"Signs and symptoms of shigella infection usually begin a day or two after contact with shigella, but may take up to a week to develop.",MAYO,0.0001932740626207,0.0038654812524159,IMPROVE,FAST,FROM 8 DAY TO 2 MONTH,pc
Infection caused by Shigella (disorder),111817006,Shigella infection,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,A mild case usually clears up on its own within a week.,MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,pc
Infection caused by Shigella (disorder),111817006,Shigella infection,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Shigella infection usually clears up without complications, although it may take weeks or months before your bowel habits return to normal.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,pc
Viral gastroenteritis (disorder),111843007,Viral gastroenteritis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"Depending on the cause, viral gastroenteritis symptoms may appear within one to three days after you're infected and can range from mild to severe.",MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,ncni
Viral gastroenteritis (disorder),111843007,Viral gastroenteritis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"Symptoms usually last just a day or two, but occasionally they may persist as long as 10 days.",MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,ncni
Escherichia coli (organism),112283007,E. coli,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,coli illness within a week.,MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,ncni
Escherichia coli (organism),112283007,E. coli,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"coli in something they ate or drank, they may have symptom onset within a couple of days to a few weeks after infection or exposure.""",MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,ncni
Escherichia coli (organism),112283007,E. coli,PERMANENT,0.0011520737327188,"coli, no current treatments can cure the infection, relieve symptoms or prevent complications.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Homocystinuria (disorder),11282001,Homocystinuria,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,Babies born with HCU don't usually have any symptoms in the first year of their life,NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Homocystinuria (disorder),11282001,Homocystinuria,PERMANENT,0.0011520737327188,"The genetic cause (mutation) responsible for HCU is passed on by parents, who usually don't have any symptoms of the condition.",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Acne vulgaris (disorder),11381005,Acne,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0150375939849624,Stress can make acne worse.,MAYO,0.0007730962504831,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Acne vulgaris (disorder),11381005,Acne,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,It can take several months of treatment before acne symptoms improve,NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,ncni
Acne vulgaris (disorder),11381005,Acne,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0077120822622107,"You may not see the benefit of this treatment for a few months, so using other acne medications with it the first few weeks may help.",MAYO,0.0005798221878623,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,ncni
Acne vulgaris (disorder),11381005,Acne,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"The risk is estimated to be around 1 in 2,500 in any given year",NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,ncni
Acne vulgaris (disorder),11381005,Acne,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"For many women, acne can persist for decades, with flares common a week before menstruation.",MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,ncni
Acne vulgaris (disorder),11381005,Acne,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"With most prescription acne drugs, you may not see results for four to eight weeks, and your skin may get worse before it gets better.",MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,ncni
Acne vulgaris (disorder),11381005,Acne,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,It should be applied 20 minutes after washing to all of the parts of your face affected by acne.,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Cesarean section (procedure),11466000,Caesarean section,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0051413881748071,"You'll probably be in hospital for 3 or 4 days after a caesarean section, and may need to take things easy for several weeks.",NHS,0.0003865481252415,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,ncni
Cesarean section (procedure),11466000,Caesarean section,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,The average stay in hospital after a caesarean is around 3 or 4 days.,NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,ncni
