snomedIdentifier,snomedConcept,CES,userConfidence,evaluationAnswers,confidence
54550000,Electroencephalogram (procedure),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,3.0,5,0.005181347150259
230558006,Hereditary liability to pressure palsies (disorder),DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,3.0,2,0.003690036900369
428251008,History of appendectomy (situation),NO EFFECT,,0,
108311000,"Psychiatric procedure, interview AND/OR consultation (procedure)",NO EFFECT,,0,
82078001,Collection of blood specimen for laboratory (procedure),NO EFFECT,,0,
387685009,Surgical manipulation of shoulder joint (procedure),NO EFFECT,,0,
443529005,Detection of chromosomal aneuploidy in prenatal amniotic fluid specimen using fluorescence in situ hybridization screening technique (procedure),NO EFFECT,,0,
767263007,22q11.2 deletion syndrome (disorder),PERMANENT,3.0,5,0.0011520737327188
74036000,Pregnancy detection examination (procedure),NO EFFECT,,0,
385691007,Fracture care (regime/therapy),NO EFFECT,,0,
47693006,Rupture of appendix (disorder),NO EFFECT,,0,
58150001,Fracture of clavicle (disorder),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,3.0,5,0.0020725388601036
430193006,Medication Reconciliation (procedure),NO EFFECT,,0,
180207008,Intravenous blood transfusion of packed cells (procedure),NO EFFECT,,0,
168172001,Sweat test (procedure),NO EFFECT,,0,
418398002,Ultrasound scan of upper abdomen (procedure),NO EFFECT,,0,
169762003,Postnatal visit (regime/therapy),NO EFFECT,,0,
225419007,Surveillance (regime/therapy),NO EFFECT,,0,
703040004,Agreeing on diabetes care plan (procedure),NO EFFECT,,0,
271442007,Fetal anatomy study (procedure),NO EFFECT,,0,
406162001,Asthma management (regime/therapy),NO EFFECT,,0,
38804009,Turner syndrome (disorder),PERMANENT,3.0,1,0.0034562211981566
58150001,Fracture of clavicle (disorder),IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,3.0,1,0.0082644628099173
276339004,Environment (environment),NO EFFECT,,0,
109989006,Multiple myeloma (disorder),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,3.0,1,0.0031088082901554
