conceptId,snomedConcept,snomedIdentifier,term
106048009,Chronic sinusitis (disorder),40055000,Respiratory finding (finding)
106048009,Sinusitis (disorder),36971009,Respiratory finding (finding)
106048009,Perennial allergic rhinitis (disorder),446096008,Respiratory finding (finding)
106048009,Acute respiratory failure (disorder),65710008,Respiratory finding (finding)
106063007,Cerebrovascular accident (disorder),230690007,Cardiovascular finding (finding)
106063007,Cardiac arrest (disorder),410429000,Cardiovascular finding (finding)
106063007,Myocardial infarction (disorder),22298006,Cardiovascular finding (finding)
106063007,Chronic intractable migraine without aura (disorder),124171000119105,Cardiovascular finding (finding)
106063007,Essential hypertension (disorder),59621000,Cardiovascular finding (finding)
106063007,Pre-eclampsia (disorder),398254007,Cardiovascular finding (finding)
106063007,Eclampsia in pregnancy (disorder),198992004,Cardiovascular finding (finding)
106063007,Atrial fibrillation (disorder),49436004,Cardiovascular finding (finding)
106063007,Chronic congestive heart failure (disorder),88805009,Cardiovascular finding (finding)
106063007,Coronary arteriosclerosis (disorder),53741008,Cardiovascular finding (finding)
106076001,Epidermal burn of skin (disorder),403190006,Skin finding (finding)
106076001,Partial thickness burn (disorder),403191005,Skin finding (finding)
106076001,Atopic dermatitis (disorder),24079001,Skin finding (finding)
106076001,Contact dermatitis (disorder),40275004,Skin finding (finding)
106077005,Partial thickness burn (disorder),403191005,Integumentary system finding (finding)
106077005,Full thickness burn (disorder),403192003,Integumentary system finding (finding)
106077005,Contact dermatitis (disorder),40275004,Integumentary system finding (finding)
106077005,Atopic dermatitis (disorder),24079001,Integumentary system finding (finding)
106077005,Epidermal burn of skin (disorder),403190006,Integumentary system finding (finding)
106098005,Escherichia coli urinary tract infection (disorder),301011002,Urinary system finding (finding)
106098005,Microalbuminuria due to type 2 diabetes mellitus (disorder),90781000119102,Urinary system finding (finding)
106098005,Cystitis (disorder),38822007,Urinary system finding (finding)
106098005,Disorder of kidney co-occurrent and due to diabetes mellitus (disorder),127013003,Urinary system finding (finding)
106098005,Chronic kidney disease stage 1 (disorder),431855005,Urinary system finding (finding)
106098005,Proteinuria due to type 2 diabetes mellitus (disorder),157141000119108,Urinary system finding (finding)
106098005,Chronic kidney disease stage 3 (disorder),433144002,Urinary system finding (finding)
106098005,Chronic kidney disease stage 2 (disorder),431856006,Urinary system finding (finding)
106098005,Recurrent urinary tract infection (disorder),197927001,Urinary system finding (finding)
106098005,Pyelonephritis (disorder),45816000,Urinary system finding (finding)
106100005,Cystitis (disorder),38822007,Lower urinary tract finding (finding)
106112009,Fetus with chromosomal abnormality,267253006,Fetal finding (finding)
106126000,Posttraumatic stress disorder (disorder),47505003,Emotional state finding (finding)
106147001,Chronic intractable migraine without aura (disorder),124171000119105,Sensory nervous system finding (finding)
106147001,Primary fibromyalgia syndrome (disorder),95417003,Sensory nervous system finding (finding)
106147001,Chronic pain (finding),82423001,Sensory nervous system finding (finding)
106200001,Anemia (disorder),271737000,Hematopoietic system finding (finding)
107647005,Body mass index 40+ - severely obese (finding),408512008,Weight finding (finding)
107647005,Body mass index 30+ - obesity (finding),162864005,Weight finding (finding)
107733003,Insertion of intrauterine contraceptive device,65200003,Introduction procedure (procedure)
107733003,Epidural anesthesia (procedure),18946005,Introduction procedure (procedure)
107733003,Insertion of biventricular implantable cardioverter defibrillator,447365002,Introduction procedure (procedure)
107733003,Subcutaneous immunotherapy,180256009,Introduction procedure (procedure)
107733003,Intubation,52765003,Introduction procedure (procedure)
107733003,Transplant of lung (procedure),88039007,Introduction procedure (procedure)
107733003,Intravenous blood transfusion of packed cells (procedure),180207008,Introduction procedure (procedure)
107733003,Single lung transplant (procedure),232657004,Introduction procedure (procedure)
107733003,Intravenous injection (procedure),43060002,Introduction procedure (procedure)
107733003,Intramuscular injection,76601001,Introduction procedure (procedure)
107733003,RhD passive immunization,51116004,Introduction procedure (procedure)
107733003,Intravenous antibiotic therapy,281790008,Introduction procedure (procedure)
107733003,Replacement of contraceptive intrauterine device,46706006,Introduction procedure (procedure)
107733003,Injection of adrenaline,313191000,Introduction procedure (procedure)
107733003,Intravenous infusion (procedure),14152002,Introduction procedure (procedure)
107733003,Total replacement of hip (procedure),52734007,Introduction procedure (procedure)
107733003,Insertion of subcutaneous contraceptive,169553002,Introduction procedure (procedure)
107733003,Chemotherapy (procedure),367336001,Introduction procedure (procedure)
107733003,Combined chemotherapy and radiation therapy (procedure),703423002,Introduction procedure (procedure)
107733003,Injection of tetanus antitoxin,384700001,Introduction procedure (procedure)
107733003,Total knee replacement (procedure),609588000,Introduction procedure (procedure)
107733003,Methotrexate injection into tubal pregnancy,236931002,Introduction procedure (procedure)
107733003,Administration of vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens (procedure),399014008,Introduction procedure (procedure)
107742005,Surgical manipulation of joint of knee (procedure),699253003,Musculoskeletal system manipulation (procedure)
107742005,Surgical manipulation of shoulder joint,387685009,Musculoskeletal system manipulation (procedure)
107769006,Excision of axillary lymph node (procedure),234262008,Operative procedure on upper extremity (procedure)
107769006,Surgical manipulation of shoulder joint,387685009,Operative procedure on upper extremity (procedure)
107784002,Amputation above-knee (procedure),79733001,Surgical procedure on lower extremity (procedure)
107784002,Total replacement of hip (procedure),52734007,Surgical procedure on lower extremity (procedure)
107784002,Total knee replacement (procedure),609588000,Surgical procedure on lower extremity (procedure)
107784002,Surgical manipulation of joint of knee (procedure),699253003,Surgical procedure on lower extremity (procedure)
107784002,Amputation of the foot (procedure),180030006,Surgical procedure on lower extremity (procedure)
107793001,Amputation of the foot (procedure),180030006,Operative procedure on ankle AND/OR foot (procedure)
107841008,Catheter ablation of tissue of heart (procedure),18286008,Cardiovascular system destructive procedure (procedure)
107907001,Cholecystectomy (procedure),38102005,Operative procedure on digestive system (procedure)
107907001,Laparoscopic cholecystectomy (procedure),45595009,Operative procedure on digestive system (procedure)
107907001,Construction of diverting colostomy (procedure),387607004,Operative procedure on digestive system (procedure)
107907001,Rectal polypectomy (procedure),274031008,Operative procedure on digestive system (procedure)
107907001,Partial resection of colon (procedure),43075005,Operative procedure on digestive system (procedure)
107944001,Rectal polypectomy (procedure),274031008,Large intestine excision (procedure)
107944001,Partial resection of colon (procedure),43075005,Large intestine excision (procedure)
107949006,Rectal polypectomy (procedure),274031008,Operative procedure on rectum AND/OR anus (procedure)
107957009,Partial resection of colon (procedure),43075005,Operative procedure on digestive organ (procedure)
107957009,Laparoscopic cholecystectomy (procedure),45595009,Operative procedure on digestive organ (procedure)
107957009,Cholecystectomy (procedure),38102005,Operative procedure on digestive organ (procedure)
107957009,Construction of diverting colostomy (procedure),387607004,Operative procedure on digestive organ (procedure)
107957009,Rectal polypectomy (procedure),274031008,Operative procedure on digestive organ (procedure)
107994000,Excision of sentinel lymph node (procedure),443497002,Operative procedure on hematopoietic system (procedure)
107994000,Excision of axillary lymph node (procedure),234262008,Operative procedure on hematopoietic system (procedure)
107996003,Excision of axillary lymph node (procedure),234262008,Lymphatic system excision (procedure)
107996003,Excision of sentinel lymph node (procedure),443497002,Lymphatic system excision (procedure)
108021004,Vasectomy (procedure),22523008,Operative procedure on male genitourinary system (procedure)
108021004,Prostatectomy (procedure),90470006,Operative procedure on male genitourinary system (procedure)
108101003,Episiotomy (procedure),85548006,Obstetrics incision (procedure)
108188006,Cesarean section (procedure),11466000,Abdomen incision (procedure)
108189003,Laparoscopic cholecystectomy (procedure),45595009,Abdomen excision (procedure)
108189003,Prostatectomy (procedure),90470006,Abdomen excision (procedure)
108189003,Cholecystectomy (procedure),38102005,Abdomen excision (procedure)
108189003,Partial resection of colon (procedure),43075005,Abdomen excision (procedure)
108189003,Rectal polypectomy (procedure),274031008,Abdomen excision (procedure)
108189003,Excision of fallopian tube and surgical removal of ectopic pregnancy (procedure),445912000,Abdomen excision (procedure)
108191006,Colonoscopy (procedure),73761001,Abdomen endoscopy (procedure)
108217004,Well child visit (procedure),410620009,"Interview, history AND/OR physical examination (procedure)"
108217004,General examination of patient (procedure),162673000,"Interview, history AND/OR physical examination (procedure)"
108217004,Physical examination procedure (procedure),5880005,"Interview, history AND/OR physical examination (procedure)"
108217004,Auscultation of the fetal heart,225158009,"Interview, history AND/OR physical examination (procedure)"
108217004,Brief general examination (procedure),162676008,"Interview, history AND/OR physical examination (procedure)"
108217004,Diagnostic fiberoptic bronchoscopy (procedure),173160006,"Interview, history AND/OR physical examination (procedure)"
108217004,Sputum microscopy (procedure),167995008,"Interview, history AND/OR physical examination (procedure)"
108217004,Nasal sinus endoscopy (procedure),112790001,"Interview, history AND/OR physical examination (procedure)"
108217004,Manual pelvic examination (procedure),35025007,"Interview, history AND/OR physical examination (procedure)"
108217004,Sputum examination (procedure),269911007,"Interview, history AND/OR physical examination (procedure)"
108217004,Review of systems (procedure),415300000,"Interview, history AND/OR physical examination (procedure)"
108217004,Digital examination of rectum (procedure),410006001,"Interview, history AND/OR physical examination (procedure)"
108217004,Initial Psychiatric Interview with mental status evaluation,79094001,"Interview, history AND/OR physical examination (procedure)"
108217004,Postnatal visit,169762003,"Interview, history AND/OR physical examination (procedure)"
108217004,Colonoscopy (procedure),73761001,"Interview, history AND/OR physical examination (procedure)"
108224003,Periodic reevaluation and management of healthy individual (procedure),86013001,Preventive patient evaluation (procedure)
108241001,Renal dialysis (procedure),265764009,Dialysis procedure (procedure)
108252007,Chlamydia antigen test,310861008,Laboratory procedure (procedure)
108252007,Streptococcus pneumoniae group B antigen test,118001005,Laboratory procedure (procedure)
108252007,Hemoglobin / Hematocrit / Platelet count,104091002,Laboratory procedure (procedure)
108252007,Throat culture (procedure),117015009,Laboratory procedure (procedure)
108252007,Antenatal RhD antibody screening,169673001,Laboratory procedure (procedure)
108252007,"Skin test for tuberculosis, Tine test (procedure)",28163009,Laboratory procedure (procedure)
108252007,Blood group typing (procedure),44608003,Laboratory procedure (procedure)
108252007,"Cytopathology procedure, preparation of smear, genital source (procedure)",90226004,Laboratory procedure (procedure)
108252007,Measurement of Varicella-zoster virus antibody,104326007,Laboratory procedure (procedure)
108252007,Peripheral blood smear interpretation (procedure),14768001,Laboratory procedure (procedure)
108252007,Human epidermal growth factor receptor 2 gene detection by immunohistochemistry (procedure),433114000,Laboratory procedure (procedure)
108252007,Oral Glucose Tolerance Test,113076002,Laboratory procedure (procedure)
108252007,Urine culture,117010004,Laboratory procedure (procedure)
108252007,Human immunodeficiency virus antigen test,31676001,Laboratory procedure (procedure)
108252007,Screen for 20 common genetic mutations of cystic fibrosis using amplification refractory mutation system polymerase chain reaction assay technique (procedure),444260001,Laboratory procedure (procedure)
108252007,Diagnosis of cystic fibrosis using sweat test and gene test,67799006,Laboratory procedure (procedure)
108252007,Microbial culture of sputum (procedure),104173009,Laboratory procedure (procedure)
108252007,Urine screening test for diabetes,395123002,Laboratory procedure (procedure)
108252007,Syphilis infection test,269828009,Laboratory procedure (procedure)
108252007,Gonorrhea infection test,165829005,Laboratory procedure (procedure)
108252007,Hepatitis C antibody test,104375008,Laboratory procedure (procedure)
108252007,Hepatitis B Surface Antigen Measurement,47758006,Laboratory procedure (procedure)
108252007,Urine screening for glucose,268556000,Laboratory procedure (procedure)
108257001,"Cytopathology procedure, preparation of smear, genital source (procedure)",90226004,Anatomic pathology procedure (procedure)
108257001,Human epidermal growth factor receptor 2 gene detection by immunohistochemistry (procedure),433114000,Anatomic pathology procedure (procedure)
1082601000112109,Secondary malignant neoplasm of colon (disorder),94260004,Secondary malignant neoplasm of viscera (disorder)
108261007,Diagnosis of cystic fibrosis using sweat test and gene test,67799006,"Chromosome analysis, cytogenetic procedure AND/OR molecular biology method (procedure)"
108273007,Mammography (procedure),71651007,Radiographic imaging procedure by site (procedure)
108273007,Plain X-ray of clavicle (procedure),168594001,Radiographic imaging procedure by site (procedure)
108273007,Mammogram - symptomatic (procedure),241055006,Radiographic imaging procedure by site (procedure)
108273007,Radiography of ankle (procedure),19490002,Radiographic imaging procedure by site (procedure)
108273007,Screening mammography (procedure),24623002,Radiographic imaging procedure by site (procedure)
108273007,Pelvis X-ray (procedure),268425006,Radiographic imaging procedure by site (procedure)
108273007,Radiologic examination of knee (procedure),74016001,Radiographic imaging procedure by site (procedure)
108273007,Computed tomography of chest and abdomen,418891003,Radiographic imaging procedure by site (procedure)
108273007,Plain chest X-ray (procedure),399208008,Radiographic imaging procedure by site (procedure)
108273007,Radiography of humerus (procedure),1225002,Radiographic imaging procedure by site (procedure)
108273007,Radiography of wrist (procedure),60027007,Radiographic imaging procedure by site (procedure)
108273007,Percutaneous mechanical thrombectomy of portal vein using fluoroscopic guidance with contrast (procedure),433112001,Radiographic imaging procedure by site (procedure)
108276004,Percutaneous mechanical thrombectomy of portal vein using fluoroscopic guidance with contrast (procedure),433112001,Radiographic procedure on cardiovascular system (procedure)
108283006,Transthoracic three dimensional ultrasonography of heart (procedure),434158009,Ultrasound procedure on cardiovascular system (procedure)
108283006,Echocardiography (procedure),40701008,Ultrasound procedure on cardiovascular system (procedure)
108283006,Transthoracic echocardiography (procedure),433236007,Ultrasound procedure on cardiovascular system (procedure)
108288002,Ultrasonography of abdomen right upper quadrant and epigastrium,426701000119108,Ultrasound procedure on topographic region (procedure)
108288002,Echocardiography (procedure),40701008,Ultrasound procedure on topographic region (procedure)
108288002,Transthoracic echocardiography (procedure),433236007,Ultrasound procedure on topographic region (procedure)
108288002,Fetal anatomy study,271442007,Ultrasound procedure on topographic region (procedure)
108288002,Ultrasonography of bilateral breasts (procedure),1571000087109,Ultrasound procedure on topographic region (procedure)
108288002,Ultrasound scan for fetal viability (procedure),169230002,Ultrasound procedure on topographic region (procedure)
108288002,Transthoracic three dimensional ultrasonography of heart (procedure),434158009,Ultrasound procedure on topographic region (procedure)
108290001,Brachytherapy of breast (procedure),447759004,Radiation oncology AND/OR radiotherapy (procedure)
108290001,Combined chemotherapy and radiation therapy (procedure),703423002,Radiation oncology AND/OR radiotherapy (procedure)
108290001,Teleradiotherapy procedure (procedure),33195004,Radiation oncology AND/OR radiotherapy (procedure)
108290001,Radiation therapy care (regime/therapy),385798007,Radiation oncology AND/OR radiotherapy (procedure)
108290001,Intracavitary brachytherapy (procedure),384692006,Radiation oncology AND/OR radiotherapy (procedure)
108290001,Interstitial brachytherapy (procedure),113120007,Radiation oncology AND/OR radiotherapy (procedure)
108310004,Evaluation of psychiatric state of patient,90407005,Psychologic AND/OR psychiatric procedure AND/OR service (procedure)
108310004,Initial Psychiatric Interview with mental status evaluation,79094001,Psychologic AND/OR psychiatric procedure AND/OR service (procedure)
108310004,Psychiatric follow-up,88848003,Psychologic AND/OR psychiatric procedure AND/OR service (procedure)
108311000,Evaluation of psychiatric state of patient,90407005,"Psychiatric procedure, interview AND/OR consultation (procedure)"
108311000,Psychiatric follow-up,88848003,"Psychiatric procedure, interview AND/OR consultation (procedure)"
108311000,Initial Psychiatric Interview with mental status evaluation,79094001,"Psychiatric procedure, interview AND/OR consultation (procedure)"
108367008,Fracture subluxation of wrist (disorder),263102004,Dislocation of joint (disorder)
10847001,Diagnostic fiberoptic bronchoscopy (procedure),173160006,Bronchoscopy (procedure)
109355002,Carcinoma in situ of prostate (disorder),92691004,Carcinoma in situ (disorder)
109821008,Overlapping malignant neoplasm of colon (disorder),109838007,Overlapping malignant neoplasm of gastrointestinal tract (disorder)
110030002,Concussion with no loss of consciousness (disorder),62106007,Concussion injury of brain (disorder)
110030002,Concussion with loss of consciousness (disorder),62564004,Concussion injury of brain (disorder)
11010461000119101,"Primary small cell malignant neoplasm of lung, TNM stage 1 (disorder)",67811000119102,Small cell carcinoma (disorder)
11010461000119101,Small cell carcinoma of lung (disorder),254632001,Small cell carcinoma (disorder)
11061003,Alcoholism (disorder),7200002,Psychoactive substance use disorder (disorder)
111273006,Acute viral pharyngitis (disorder),195662009,Acute respiratory disease (disorder)
111273006,Acute respiratory failure (disorder),65710008,Acute respiratory disease (disorder)
111273006,Acute bacterial sinusitis (disorder),75498004,Acute respiratory disease (disorder)
111273006,Acute bronchitis (disorder),10509002,Acute respiratory disease (disorder)
11131000119108,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder),97331000119101,Anomaly of eye (disorder)
11131000119108,Proliferative retinopathy due to type 2 diabetes mellitus (disorder),1501000119109,Anomaly of eye (disorder)
111479008,Familial Alzheimer's disease of early onset (disorder),230265002,Organic mental disorder (disorder)
111479008,Alzheimer's disease (disorder),26929004,Organic mental disorder (disorder)
111566002,Idiopathic atrophic hypothyroidism (disorder),83664006,Acquired hypothyroidism (disorder)
111941005,Familial Alzheimer's disease of early onset (disorder),230265002,Familial disease (disorder)
112695004,Suture open wound,288086009,Reparative closure (procedure)
112697007,Total replacement of hip (procedure),52734007,Operation on musculoskeletal system (procedure)
112697007,Surgical manipulation of joint of knee (procedure),699253003,Operation on musculoskeletal system (procedure)
112697007,Total knee replacement (procedure),609588000,Operation on musculoskeletal system (procedure)
112697007,Surgical manipulation of shoulder joint,387685009,Operation on musculoskeletal system (procedure)
112698002,Surgical manipulation of joint of knee (procedure),699253003,Operation on joint (procedure)
112698002,Total replacement of hip (procedure),52734007,Operation on joint (procedure)
112698002,Surgical manipulation of shoulder joint,387685009,Operation on joint (procedure)
112698002,Total knee replacement (procedure),609588000,Operation on joint (procedure)
112802009,Catheter ablation of tissue of heart (procedure),18286008,Cardiovascular operative procedure (procedure)
112802009,Coronary artery bypass grafting (procedure),232717009,Cardiovascular operative procedure (procedure)
113011001,Digital examination of rectum (procedure),410006001,Palpation (procedure)
113091000,Magnetic resonance imaging for measurement of brain volume (procedure),698354004,Magnetic resonance imaging (procedure)
113091000,Magnetic resonance imaging of breast (procedure),241615005,Magnetic resonance imaging (procedure)
11429006,Consultation for treatment,698314001,Consultation (procedure)
11429006,Telemedicine consultation with patient,448337001,Consultation (procedure)
116223007,Pre-eclampsia (disorder),398254007,Complication (disorder)
116223007,Acute allergic reaction (disorder),241929008,Complication (disorder)
116223007,Eclampsia in pregnancy (disorder),198992004,Complication (disorder)
116223007,Retinopathy due to type 2 diabetes mellitus (disorder),422034002,Complication (disorder)
116223007,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,Complication (disorder)
116223007,Proliferative retinopathy due to type 2 diabetes mellitus (disorder),1501000119109,Complication (disorder)
116223007,Proteinuria due to type 2 diabetes mellitus (disorder),157141000119108,Complication (disorder)
116223007,Pathological fracture due to osteoporosis (disorder),443165006,Complication (disorder)
116223007,Blindness due to type 2 diabetes mellitus (disorder),60951000119105,Complication (disorder)
116223007,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder),97331000119101,Complication (disorder)
116223007,Fracture of vertebral column with spinal cord injury (disorder),1734006,Complication (disorder)
116223007,Disorder of kidney co-occurrent and due to diabetes mellitus (disorder),127013003,Complication (disorder)
116223007,Microalbuminuria due to type 2 diabetes mellitus (disorder),90781000119102,Complication (disorder)
116223007,Complication occurring during pregnancy (disorder),609496007,Complication (disorder)
116223007,Neuropathy due to type 2 diabetes mellitus (disorder),368581000119106,Complication (disorder)
116307009,Fracture of forearm (disorder),65966004,Finding of upper limb (finding)
116307009,Laceration of hand,284549007,Finding of upper limb (finding)
116307009,Fracture subluxation of wrist (disorder),263102004,Finding of upper limb (finding)
116307009,Injury of tendon of the rotator cuff of shoulder (disorder),307731004,Finding of upper limb (finding)
116307009,Sprain of wrist (disorder),70704007,Finding of upper limb (finding)
116307009,"Localized, primary osteoarthritis of the hand (disorder)",201834006,Finding of upper limb (finding)
116307009,Laceration of forearm,283371005,Finding of upper limb (finding)
116307009,Fracture of clavicle (disorder),58150001,Finding of upper limb (finding)
116308004,Injury of tendon of the rotator cuff of shoulder (disorder),307731004,Finding of shoulder region (finding)
116310002,Fracture subluxation of wrist (disorder),263102004,Finding of wrist region (finding)
116310002,Sprain of wrist (disorder),70704007,Finding of wrist region (finding)
116311003,Laceration of hand,284549007,Finding of hand region (finding)
116311003,"Localized, primary osteoarthritis of the hand (disorder)",201834006,Finding of hand region (finding)
116312005,Sprain of ankle (disorder),44465007,Finding of lower limb (finding)
116312005,Tear of meniscus of knee (disorder),239720000,Finding of lower limb (finding)
116312005,Laceration of foot (disorder),284551006,Finding of lower limb (finding)
116312005,Osteoarthritis of knee (disorder),239873007,Finding of lower limb (finding)
116312005,Fracture of ankle (disorder),16114001,Finding of lower limb (finding)
116312005,Closed fracture of hip (disorder),359817006,Finding of lower limb (finding)
116312005,Injury of medial collateral ligament of knee (disorder),444448004,Finding of lower limb (finding)
116312005,Osteoarthritis of hip (disorder),239872002,Finding of lower limb (finding)
116312005,Injury of anterior cruciate ligament (disorder),444470001,Finding of lower limb (finding)
116312005,Rupture of patellar tendon (disorder),30832001,Finding of lower limb (finding)
116312005,Laceration of thigh,283385000,Finding of lower limb (finding)
116313000,Osteoarthritis of hip (disorder),239872002,Finding of hip region (finding)
116313000,Closed fracture of hip (disorder),359817006,Finding of hip region (finding)
116314006,Rupture of patellar tendon (disorder),30832001,Finding of knee region (finding)
116314006,Injury of medial collateral ligament of knee (disorder),444448004,Finding of knee region (finding)
116314006,Tear of meniscus of knee (disorder),239720000,Finding of knee region (finding)
116314006,Osteoarthritis of knee (disorder),239873007,Finding of knee region (finding)
