conceptId,descendantCount,snomedConcept,snomedIdentifier,term
52011008,384.0,Acquired deformity of finger due to trauma (disorder),64298006,Injury of finger (disorder)
441885003,30.0,Acquired deformity of finger due to trauma (disorder),64298006,Injury of extensor tendon of hand (disorder)
360388005,28.0,Acquired deformity of finger due to trauma (disorder),64298006,Acquired deformity of finger joint (disorder)
201949002,27.0,Acquired deformity of finger due to trauma (disorder),64298006,Traumatic arthropathy of distal interphalangeal joint of finger (disorder)
81000119104,22.0,Acquired immune deficiency syndrome (disorder),62479008,Symptomatic human immunodeficiency virus infection (disorder)
363161007,65.0,Acquired immune deficiency syndrome (disorder),62479008,Infectious disorder of immune system (disorder)
312130009,800.0,Acquired immune deficiency syndrome (disorder),62479008,Viral infection by site (disorder)
33286000,14.0,Acquired immune deficiency syndrome (disorder),62479008,Secondary immune deficiency disorder (disorder)
26517000,44.0,Acquired trigger finger (disorder),1539003,Acquired deformity of finger (disorder)
280135003,1248.0,Acquired trigger finger (disorder),1539003,Disorder of soft tissue of upper limb (disorder)
239987006,23.0,Acquired trigger finger (disorder),1539003,Triggering of digit (disorder)
40668007,183.0,Acquired trigger finger (disorder),1539003,Acquired musculoskeletal deformity (disorder)
10649000,39.0,Acromegaly (disorder),74107003,Hyperpituitarism (disorder)
90128006,101.0,Actinic keratosis (disorder),201101007,Photosensitivity (finding)
373591006,250.0,Actinic keratosis (disorder),201101007,Disorders of skin caused by physical agents (disorder)
707209001,344.0,Actinic keratosis (disorder),201101007,Keratoderma (disorder)
254658001,94.0,Actinic keratosis (disorder),201101007,Benign epithelial neoplasm of skin (disorder)
371582002,429.0,Actinomycotic infection (disorder),11817007,Disease caused by Gram-positive bacteria (disorder)
423451008,119.0,Actinomycotic infection (disorder),11817007,Infection caused by anaerobic bacteria (disorder)
721751007,507.0,Actinomycotic infection (disorder),11817007,Infection caused by Actinomycetales (disorder)
363691001,9932.0,Acupuncture (procedure),44868003,Procedure categorized by device involved (procedure)
782901001,2959.0,Acupuncture (procedure),44868003,Insertion procedure (procedure)
277132007,2191.0,Acupuncture (procedure),44868003,Therapeutic procedure (procedure)
111273006,228.0,Acute bronchitis (disorder),10509002,Acute respiratory disease (disorder)
32398004,117.0,Acute bronchitis (disorder),10509002,Bronchitis (disorder)
128482007,953.0,Acute bronchitis (disorder),10509002,Acute inflammatory disease (disorder)
76581006,45.0,Acute cholecystitis (disorder),65275009,Cholecystitis (disorder)
6215006,21.0,Acute cholecystitis (disorder),65275009,Acute cholangitis (disorder)
63171007,380.0,Acute coccidioidomycosis (disorder),3071000119108,Acute infectious disease (disorder)
60826002,26.0,Acute coccidioidomycosis (disorder),3071000119108,Coccidioidomycosis (disorder)
413439005,81.0,Acute coronary syndrome (disorder),394659003,Acute ischemic heart disease (disorder)
304527002,27.0,Acute exacerbation of asthma (disorder),708038006,Acute asthma (disorder)
281239006,31.0,Acute exacerbation of asthma (disorder),708038006,Exacerbation of asthma (disorder)
128482007,953.0,Acute febrile mucocutaneous lymph node syndrome (disorder),75053002,Acute inflammatory disease (disorder)
128487001,341.0,Acute febrile mucocutaneous lymph node syndrome (disorder),75053002,Acute disease of cardiovascular system (disorder)
416113008,35.0,Acute febrile mucocutaneous lymph node syndrome (disorder),75053002,Febrile disorder (disorder)
724598001,10.0,Acute febrile mucocutaneous lymph node syndrome (disorder),75053002,Vasculitis of medium sized vessel (disorder)
407529009,11.0,Acute febrile mucocutaneous lymph node syndrome (disorder),75053002,Primary systemic arteritis (disorder)
127086001,23.0,Acute febrile mucocutaneous lymph node syndrome (disorder),75053002,Cervical lymphadenopathy (disorder)
188725004,64.0,"Acute lymphoid leukemia, disease (disorder)",91857003,Lymphoid leukemia (disorder)
91855006,77.0,"Acute lymphoid leukemia, disease (disorder)",91857003,"Acute leukemia, disease (disorder)"
128934006,45.0,Acute myeloid leukemia - category (morphologic abnormality),413443009,Myeloid leukemia - category (morphologic abnormality)
128932005,64.0,Acute myeloid leukemia - category (morphologic abnormality),413443009,Acute leukemia - category (morphologic abnormality)
188732008,76.0,"Acute myeloid leukemia, disease (disorder)",91861009,Myeloid leukemia (disorder)
91855006,77.0,"Acute myeloid leukemia, disease (disorder)",91861009,"Acute leukemia, disease (disorder)"
413443009,35.0,"Acute myeloid leukemia, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",17788007,Acute myeloid leukemia - category (morphologic abnormality)
105612003,1017.0,Acute nontraumatic kidney injury (disorder),140031000119103,Injury of internal organ (disorder)
14669001,42.0,Acute nontraumatic kidney injury (disorder),140031000119103,Acute renal failure syndrome (disorder)
284005003,753.0,Acute nontraumatic kidney injury (disorder),140031000119103,Abdominal cavity injury (disorder)
733386005,103.0,Acute nontraumatic kidney injury (disorder),140031000119103,Injury of urinary organ (disorder)
1119219007,152.0,Acute nontraumatic kidney injury (disorder),140031000119103,Nontraumatic injury (disorder)
79131000119100,298.0,Acute nontraumatic kidney injury (disorder),140031000119103,Kidney lesion (finding)
128482007,953.0,Acute pancreatitis (disorder),197456007,Acute inflammatory disease (disorder)
75694006,52.0,Acute pancreatitis (disorder),197456007,Pancreatitis (disorder)
127321000,291.0,Acute pancreatitis (disorder),197456007,Acute digestive system disorder (disorder)
30473006,112.0,Acute pelvic pain (finding),314716005,Pain in pelvis (finding)
274663001,22.0,Acute pelvic pain (finding),314716005,Acute pain (finding)
609626005,3736.0,Acute pelvic pain (finding),314716005,Finding of pelvis (finding)
128482007,953.0,Acute poliomyelitis (disorder),398102009,Acute inflammatory disease (disorder)
39367000,533.0,Acute poliomyelitis (disorder),398102009,Inflammatory disease of the central nervous system (disorder)
406578005,38.0,Acute poliomyelitis (disorder),398102009,Enterovirus infection of the central nervous system (disorder)
409631000,90.0,Acute poliomyelitis (disorder),398102009,Acute viral disease (disorder)
721764008,21.0,Acute poliomyelitis (disorder),398102009,Infection caused by Human poliovirus (disorder)
127341005,129.0,Acute poliomyelitis (disorder),398102009,Acute nervous system disorder (disorder)
236424009,53.0,Acute renal failure syndrome (disorder),14669001,Acute renal impairment (disorder)
42399005,88.0,Acute renal failure syndrome (disorder),14669001,Renal failure syndrome (disorder)
111273006,228.0,Acute respiratory distress syndrome (disorder),67782005,Acute respiratory disease (disorder)
233703007,66.0,Acute respiratory distress syndrome (disorder),67782005,Interstitial lung disease (disorder)
19242006,29.0,Acute respiratory distress syndrome (disorder),67782005,Pulmonary edema (disorder)
128482007,953.0,Acute sinusitis (disorder),15805002,Acute inflammatory disease (disorder)
111273006,228.0,Acute sinusitis (disorder),15805002,Acute respiratory disease (disorder)
36971009,63.0,Acute sinusitis (disorder),15805002,Sinusitis (disorder)
386584007,37.0,Addison's disease (disorder),363732003,Adrenal cortical hypofunction (disorder)
107996003,154.0,Adenoid excision (procedure),119954001,Lymphatic system excision (procedure)
119704003,9.0,Adenoid excision (procedure),119954001,Nasopharynx excision (procedure)
363146006,161.0,Adenoid excision (procedure),119954001,Immune system excision (procedure)
36681006,18.0,Adenoid excision (procedure),119954001,Operation on adenoids (procedure)
430940009,119.0,Adhesive capsulitis of shoulder (disorder),399114005,Disorder of glenohumeral joint (disorder)
280135003,1248.0,Adhesive capsulitis of shoulder (disorder),399114005,Disorder of soft tissue of upper limb (disorder)
6858004,6.0,Adhesive capsulitis of shoulder (disorder),399114005,Capsulitis (disorder)
74732009,1930.0,Adjustment disorder (disorder),17226007,Mental disorder (disorder)
127785005,283.0,Administration of vaccine to produce active immunity (procedure),33879002,"Administration of substance to produce immunity, either active or passive (procedure)"
47270006,15.0,Adrenal Cushing's syndrome (disorder),237735008,Hypercortisolism (disorder)
129636003,112.0,Adrenal Cushing's syndrome (disorder),237735008,Disorder of adrenal cortex (disorder)
363104002,232.0,Adrenoleukodystrophy (disorder),65389002,Hereditary disorder of endocrine system (disorder)
238066006,15.0,Adrenoleukodystrophy (disorder),65389002,Loss of single peroxisomal function (disorder)
386584007,37.0,Adrenoleukodystrophy (disorder),65389002,Adrenal cortical hypofunction (disorder)
74732009,1930.0,Adult attention deficit hyperactivity disorder (disorder),444613000,Mental disorder (disorder)
410794002,2.0,Adult onset Still's disease (disorder),239920006,Still's disease with juvenile onset and/or adult onset (disorder)
422338006,48.0,Age-related macular degeneration (disorder),267718000,Degenerative disorder of macula (disorder)
386810004,46.0,Agoraphobia (disorder),70691001,Phobic disorder (disorder)
414086009,252.0,Air embolism (disorder),271376002,Embolism (disorder)
414032001,411.0,Albinism (disorder),15890002,Disorder of pigmentation (disorder)
86095007,584.0,Albinism (disorder),15890002,Inborn error of metabolism (disorder)
276654001,7339.0,Albinism (disorder),15890002,Congenital malformation (disorder)
363070008,1812.0,Albinism (disorder),15890002,Developmental hereditary disorder (disorder)
91388009,54.0,Alcohol abuse (disorder),15167005,Psychoactive substance abuse (disorder)
7200002,17.0,Alcohol abuse (disorder),15167005,Alcoholism (disorder)
719848005,101.0,Alcoholic liver damage (disorder),41309000,Disorder caused by alcohol (disorder)
427399008,27.0,Alcoholic liver damage (disorder),41309000,Drug-induced disorder of liver (disorder)
243978007,65.0,Alcoholic liver damage (disorder),41309000,Liver damage (disorder)
719848005,101.0,Alcoholism (disorder),7200002,Disorder caused by alcohol (disorder)
2403008,21.0,Alcoholism (disorder),7200002,Psychoactive substance dependence (disorder)
229080003,14.0,Alexander technique (regime/therapy),876850004,Exercise regime (regime/therapy)
64299003,15.0,Alexander technique (regime/therapy),876850004,Relaxation training therapy (regime/therapy)
473011001,1706.0,Allergic disposition (finding),609328004,Allergic condition (finding)
609433001,1356.0,Allergic disposition (finding),609328004,Hypersensitivity disposition (finding)
128561003,346.0,Allergic granulomatosis angiitis (disorder),82275008,Disorder characterized by granuloma formation (disorder)
427213005,7.0,Allergic granulomatosis angiitis (disorder),82275008,Autoimmune vasculitis (disorder)
60555002,3.0,Allergic granulomatosis angiitis (disorder),82275008,Hypersensitivity angiitis (disorder)
52089001,67.0,Allergic granulomatosis angiitis (disorder),82275008,Arteritis (disorder)
11791001,32.0,Allergic granulomatosis angiitis (disorder),82275008,Necrotizing vasculitis (disorder)
234019004,15.0,Allergic granulomatosis angiitis (disorder),82275008,Secondary systemic vasculitis (disorder)
7930004,9.0,Allergic granulomatosis angiitis (disorder),82275008,Necrosis of artery (disorder)
418634005,67.0,Allergic reaction caused by hair dye (disorder),473104002,Allergic reaction caused by substance (disorder)
421871004,33.0,Allergic rhinitis (disorder),61582004,Atopic immunoglobulin E-mediated allergic disorder (disorder)
70076002,74.0,Allergic rhinitis (disorder),61582004,Rhinitis (disorder)
367498001,5.0,Allergic rhinitis caused by pollen (disorder),21719001,Seasonal allergic rhinitis (disorder)
420881009,63.0,Allergic rhinitis caused by pollen (disorder),21719001,Allergic disorder caused by substance (disorder)
408480009,2.0,Allergy - specialty (qualifier value),408439002,Clinical immunology (qualifier value)
419412007,3.0,Allergy to Hevea brasiliensis latex protein (finding),1003755004,Allergy to rubber (finding)
717234006,13.0,Allergy to animal dander (finding),232347008,Allergy to animal protein (finding)
717234006,13.0,Allergy to cow's milk protein (finding),782555009,Allergy to animal protein (finding)
414285001,79.0,Allergy to cow's milk protein (finding),782555009,Allergy to food (finding)
717234006,13.0,Allergy to dust mite protein (finding),232350006,Allergy to animal protein (finding)
414285001,79.0,Allergy to egg protein (finding),213020009,Allergy to food (finding)
717234006,13.0,Allergy to egg protein (finding),213020009,Allergy to animal protein (finding)
419199007,1300.0,Allergy to food (finding),414285001,Allergy to substance (finding)
418471000,98.0,Allergy to food (finding),414285001,Propensity to adverse reactions to food (finding)
300915004,2.0,Allergy to nickel (finding),419788000,Allergy to metal (finding)
409136006,5.0,Allergy to peanut (finding),91935009,Allergy to pulse vegetable (finding)
91937001,10.0,Allergy to shellfish (finding),300913006,Allergy to seafood (finding)
409136006,5.0,Allergy to soy protein (finding),782594005,Allergy to pulse vegetable (finding)
414285001,79.0,Allergy to wheat (finding),420174000,Allergy to food (finding)
279425004,375.0,Alopecia (disorder),56317004,Disorder of hair (disorder)
714751007,25.0,Alveolitis of jaw (disorder),61804006,Inflammatory disorder of bone of jaw (disorder)
128999004,957.0,Alveolitis of jaw (disorder),61804006,Inflammatory disorder of digestive tract (disorder)
118938008,2545.0,Alveolitis of jaw (disorder),61804006,Disorder of mouth (disorder)
116337000,2685.0,Alveolitis of jaw (disorder),61804006,Oral cavity finding (finding)
52448006,135.0,Alzheimer's disease (disorder),26929004,Dementia (disorder)
279982005,33.0,Alzheimer's disease (disorder),26929004,Cerebral degeneration presenting primarily with dementia (disorder)
118717007,25578.0,Amniocentesis (procedure),34536000,Procedure on organ (procedure)
86088003,87.0,Amniocentesis (procedure),34536000,Centesis (procedure)
65801008,4381.0,Amputation (procedure),81723002,Excision (procedure)
362975008,3259.0,Amyloidosis (disorder),17602002,Degenerative disorder (disorder)
37340000,62.0,Amyotrophic lateral sclerosis (disorder),86044005,Motor neuron disease (disorder)
32110003,220.0,Anal fissure (disorder),30037006,Disorder of anus (disorder)
301362007,47.0,Anal pain (finding),68653001,Pain of digestive structure (finding)
386618008,3868.0,Anal pain (finding),68653001,Gastrointestinal tract finding (finding)
225565007,17.0,Anal pain (finding),68653001,Perineal pain (finding)
409904000,36.0,Anaplasmosis (disorder),13906002,Disease caused by Rickettsiales (disorder)
28710006,43.0,Androgen resistance syndrome (disorder),12313004,Disorder of steroid metabolism (disorder)
276856001,15.0,Androgen resistance syndrome (disorder),12313004,Endocrine andrology disorder (disorder)
414022008,1060.0,Anemia (disorder),271737000,Disorder of cellular component of blood (disorder)
165397008,532.0,Anemia (disorder),271737000,Hemoglobin low (finding)
62574001,517.0,Anemia (disorder),271737000,Erythropenia (finding)
67362008,52.0,Aneurysm of thoracic aorta (disorder),433068007,Aortic aneurysm (disorder)
142111000119108,41.0,Aneurysm of thoracic aorta (disorder),433068007,Ectasia of thoracic aorta (disorder)
782964007,4145.0,Angelman syndrome (disorder),76880004,Genetic disease (disorder)
110359009,397.0,Angelman syndrome (disorder),76880004,Intellectual disability (disorder)
88425004,662.0,Angelman syndrome (disorder),76880004,Congenital anomaly of nervous system (disorder)
65094009,437.0,Angelman syndrome (disorder),76880004,Multiple malformation syndrome with facial defects as major feature (disorder)
29857009,107.0,Angina (disorder),194828000,Chest pain (finding)
301358001,89.0,Angina (disorder),194828000,Pain of cardiovascular structure (finding)
373673007,327.0,Angina (disorder),194828000,Disorder characterized by pain (disorder)
414545008,157.0,Angina (disorder),194828000,Ischemic heart disease (disorder)
404177007,115.0,Angioedema (disorder),41291007,Angioedema and/or urticaria (disorder)
276341003,2144.0,Angiography (procedure),77343006,Cardiovascular investigation (procedure)
118804001,4595.0,Angiography (procedure),77343006,Procedure on blood vessel (procedure)
414457001,1679.0,Angiography (procedure),77343006,Imaging of soft tissue (procedure)
71025006,633.0,Angioplasty of blood vessel (procedure),418285008,Dilation procedure (procedure)
2119009,1383.0,Angioplasty of blood vessel (procedure),418285008,Repair of blood vessel (procedure)
88232005,109.0,Anhidrosis (disorder),39659002,Disorder of sweat gland (disorder)
723116002,7.0,Ankylosing spondylitis (disorder),9631008,Axial spondyloarthritis (disorder)
72366004,37.0,Anorexia nervosa (disorder),56882008,Eating disorder (disorder)
87284002,10.0,Anoxia caused by high altitude (disorder) ,42883007,Effects of high altitude (disorder)
389087006,15.0,Anoxia caused by high altitude (disorder) ,42883007,Hypoxemia (disorder)
128944008,10.0,Anthrax (disorder),409498004,Bacterial infection caused by Bacillus (disorder)
128333008,63.0,Antibiotic-associated diarrhea (disorder),301469002,Diarrheal disorder (disorder)
234467004,54.0,Antiphospholipid syndrome (disorder),26843008,Thrombophilia (disorder)
85828009,461.0,Antiphospholipid syndrome (disorder),26843008,Autoimmune disease (disorder)
4306003,7.0,Antisocial personality disorder (disorder),26665006,Cluster B personality disorder (disorder)
301099004,152.0,Aortic valve disorder (disorder),8722008,Aortic valve finding (finding)
368009,820.0,Aortic valve disorder (disorder),8722008,Heart valve disorder (disorder)
40445007,109.0,Aortic valve regurgitation (disorder),60234000,Heart valve regurgitation (disorder)
448743001,127.0,Aortic valve regurgitation (disorder),60234000,Abnormality of aortic valve (disorder)
448743001,127.0,Aortic valve stenosis (disorder),60573004,Abnormality of aortic valve (disorder)
44241007,116.0,Aortic valve stenosis (disorder),60573004,Heart valve stenosis (disorder)
106169008,135.0,Aphasia (finding),87486003,"Aphasia, agnosia, dyslexia AND/OR apraxia (finding)"
26284000,51.0,Aphthous ulcer of mouth (disorder),426965005,Ulcer of mouth (disorder)
1089981000119106,242.0,Aphthous ulcer of mouth (disorder),426965005,Lesion of oral mucosa (disorder)
427617000,14.0,Aphthous ulcer of mouth (disorder),426965005,Aphthous ulceration of skin and/or mucous membrane (disorder)
95356008,39.0,Aphthous ulcer of mouth (disorder),426965005,Mucosal ulcer (disorder)
302168000,205.0,Appendicitis (disorder),74400008,Inflammation of large intestine (disorder)
18526009,86.0,Appendicitis (disorder),74400008,Disorder of appendix (disorder)
439129009,413.0,Arterial thrombosis (disorder),65198009,Thrombosis of blood vessel (disorder)
359557001,1905.0,Arterial thrombosis (disorder),65198009,Disorder of artery (disorder)
280871000,137.0,Arteriosclerotic vascular disease (disorder),72092001,Vascular degeneration (disorder)
359557001,1905.0,Arteriosclerotic vascular disease (disorder),72092001,Disorder of artery (disorder)
27550009,3915.0,Arteriovenous fistula (disorder),439470001,Disorder of blood vessel (disorder)
428794004,403.0,Arteriovenous fistula (disorder),439470001,Fistula (disorder)
239953001,10765.0,Arteriovenous fistula (disorder),439470001,Soft tissue lesion (disorder)
118622000,26.0,Arteriovenous fistula (morphologic abnormality),128617001,Fistula (morphologic abnormality)
298160000,743.0,Arthritis (disorder),3723001,Inflamed joint (finding)
363169009,6848.0,Arthritis (disorder),3723001,Inflammation of specific body organs (disorder)
399269003,3864.0,Arthritis (disorder),3723001,Arthropathy (disorder)
363179006,1392.0,Arthritis (disorder),3723001,Inflammatory disorder of musculoskeletal system (disorder)
15728481000119104,13.0,Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102,Arthropathy of joint of bilateral hands (disorder)
1074801000119103,1.0,Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102,Arthritis of first carpometacarpal joint of left hand (disorder)
1074811000119100,1.0,Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102,Arthritis of first carpometacarpal joint of right hand (disorder)
179342005,200.0,Arthroplasty of knee (procedure),19063003,Knee joint operation (procedure)
188383006,750.0,Arthroplasty of knee (procedure),19063003,Surgical repair of lower extremity (procedure)
442095009,398.0,Arthroplasty of knee (procedure),19063003,Repair of joint (procedure)
284393006,142.0,Arthroscopy (procedure),13714004,Examination of joint (procedure)
107739004,63.0,Arthroscopy (procedure),13714004,Musculoskeletal system endoscopy (procedure)
426853005,2.0,Asbestosis (disorder),22607003,Pneumoconiosis caused by silicate (disorder)
57540006,41.0,Ascariasis (disorder),2435008,Intestinal nematode infection (disorder)
105696001,27.0,Ascariasis (disorder),2435008,Disease caused by superfamily Ascaridoidea (disorder)
386065001,4.0,Ascorbic acid deficiency (disorder),76169001,Disorder of vitamin C (disorder)
85670002,65.0,Ascorbic acid deficiency (disorder),76169001,Vitamin deficiency (disorder)
255637000,37.0,Aspirin (substance),387458008,Salicylate (substance)
771452004,35.0,Aspirin (substance),387458008,Substance with platelet aggregation inhibitor mechanism of action (substance)
372665008,130.0,Aspirin (substance),387458008,Non-steroidal anti-inflammatory agent (substance)
50043002,3544.0,Asthma (disorder),195967001,Disorder of respiratory system (disorder)
416500007,65.0,"Astrocytoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",38713004,Malignant glioma - category (morphologic abnormality)
298314008,234.0,Ataxia (finding),20262006,Finding related to coordination / incoordination (finding)
301232003,445.0,Atelectasis (disorder),46621007,Lesion of lung (finding)
19829001,1148.0,Atelectasis (disorder),46621007,Disorder of lung (disorder)
28960008,1.0,Atherosclerosis (morphologic abnormality),38716007,Arteriosclerosis (morphologic abnormality)
43116000,214.0,Atopic dermatitis (disorder),24079001,Eczema (disorder)
17366009,48.0,Atrial fibrillation (disorder),49436004,Atrial arrhythmia (disorder)
40593004,20.0,Atrial fibrillation (disorder),49436004,Fibrillation (disorder)
253363004,59.0,Atrial septal defect (disorder),70142008,Abnormality of atrial septum (disorder)
253273004,198.0,Atrial septal defect (disorder),70142008,Cardiac septal defects (disorder)
17366009,48.0,Atrial tachycardia (disorder),276796006,Atrial arrhythmia (disorder)
59494005,167.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002,Congenital septal defect of heart (disorder)
773139006,258.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002,Congenital abnormality of cardiac ventricle (disorder)
253427003,193.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002,"Abnormality of atrioventricular (non-mitral, non-tricuspid) valve (disorder)"
737156006,38.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002,Congenital anomaly of atrioventricular septum (disorder)
788533006,131.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002,Congenital abnormality of atrium (disorder)
253272009,226.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002,Congenital abnormality of cardiac connection (disorder)
70320004,290.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002,Congenital anomaly of heart valve (disorder)
129104009,517.0,Attention deficit hyperactivity disorder (disorder),406506008,Developmental mental disorder (disorder)
229712006,12.0,Attention deficit hyperactivity disorder (disorder),406506008,Disorders of attention and motor control (disorder)
35489007,141.0,Atypical depressive disorder (disorder),191659001,Depressive disorder (disorder)
235890007,8.0,Autoimmune hepatitis (disorder),408335007,Autoimmune liver disease (disorder)
128241005,151.0,Autoimmune hepatitis (disorder),408335007,Inflammatory disease of liver (disorder)
15241006,169.0,Autonomic neuropathy (disorder),277879009,Disorder of autonomic nervous system (disorder)
386033004,1724.0,Autonomic neuropathy (disorder),277879009,Neuropathy (disorder)
108259003,29.0,Autopsy examination (procedure),29240004,Autopsy pathology procedure AND/OR service (procedure)
386053000,20340.0,Autopsy examination (procedure),29240004,Evaluation procedure (procedure)
82525005,17.0,Autosomal dominant polycystic kidney disease (disorder),765330003,Congenital cystic kidney disease (disorder)
367591000119105,146.0,Autosomal dominant polycystic kidney disease (disorder),765330003,Hereditary nephropathy (disorder)
11164009,970.0,Autosomal dominant polycystic kidney disease (disorder),765330003,Autosomal dominant hereditary disorder (disorder)
6574001,85.0,Avascular necrosis (morphologic abnormality),86217007,Necrosis (morphologic abnormality)
449735000,24.0,Avascular necrosis (morphologic abnormality),86217007,Structural change due to ischemia (morphologic abnormality)
444849002,4.0,Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Avascular necrosis of bone of hip (disorder)
699063001,92.0,Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Injury of hip and thigh (disorder)
240172008,263.0,Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Disorder of epiphysis (disorder)
414654003,45.0,B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma (morphologic abnormality),51092000,Mature (peripheral) B-cell neoplasm (morphologic abnormality)
413840004,6.0,B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma (morphologic abnormality),51092000,Chronic lymphoid leukemia - category (morphologic abnormality)
405825005,22.0,BRCA1 mutation carrier detection test (procedure),405823003,Molecular genetic test (procedure)
405825005,22.0,BRCA2 mutation carrier detection test (procedure),405826006,Molecular genetic test (procedure)
301366005,360.0,Backache (finding),161891005,Pain of truncal structure (finding)
414252009,3050.0,Backache (finding),161891005,Finding of back (finding)
312126006,157.0,Bacterial arthritis (disorder),48245008,Bacterial musculoskeletal infection (disorder)
396234004,149.0,Bacterial arthritis (disorder),48245008,Infective arthritis (disorder)
312125005,117.0,Bacterial vaginosis (disorder),419760006,Bacterial genital infection (disorder)
237091009,21.0,Bacterial vaginosis (disorder),419760006,Infective vaginitis (disorder)
315294004,23.0,Barium enema (procedure),168836005,Contrast enema (procedure)
400137006,19.0,Basal cell carcinoma (morphologic abnormality),1338007,Basal cell carcinoma - category (morphologic abnormality)
86049000,886.0,Basal cell carcinoma (morphologic abnormality),1338007,"Malignant neoplasm, primary (morphologic abnormality)"
58184002,371.0,Behcet's syndrome (disorder),310701003,Recurrent disease (disorder)
407530004,27.0,Behcet's syndrome (disorder),310701003,Primary systemic vasculitis (disorder)
247440002,5139.0,Behcet's syndrome (disorder),310701003,Skin or mucosa lesion (finding)
128292002,191.0,Behcet's syndrome (disorder),310701003,Chronic disease of cardiovascular system (disorder)
280816001,16.0,Bell's palsy (disorder),193093009,Facial palsy (disorder)
81308009,3219.0,Benign intracranial hypertension (disorder),68267002,Disorder of brain (disorder)
109913001,13.0,Benign meningioma (disorder),724171006,Benign neoplasm of meninges (disorder)
92131002,441.0,Benign neoplasm of brain (disorder),92030004,Benign neoplasm of head (disorder)
92048008,81.0,Benign neoplasm of brain (disorder),92030004,Benign neoplasm of central nervous system (disorder)
126952004,208.0,Benign neoplasm of brain (disorder),92030004,Neoplasm of brain (disorder)
92069005,612.0,Benign neoplasm of peripheral nerve (disorder),409660009,Benign neoplasm of soft tissue (disorder)
92247009,134.0,Benign neoplasm of peripheral nerve (disorder),409660009,Benign neoplasm of nervous system (disorder)
