att_type_id,att_type_term,att_value_id,att_value_term,group,snomedConcept,snomedIdentifier
260686004,Method (attribute),129284003,Surgical action (qualifier value),0.0,Cataract surgery (procedure),110473004
405814001,Procedure site - Indirect (attribute),78076003,Structure of lens of eye (body structure),0.0,Cataract surgery (procedure),110473004
363700003,Direct morphology (attribute),128306009,Cataract (morphologic abnormality),0.0,Cataract surgery (procedure),110473004
363698007,Finding site (attribute),425038009,Structure of bursa of knee (body structure),0.0,Bursitis of knee (disorder),111243002
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),0.0,Bursitis of knee (disorder),111243002
363698007,Finding site (attribute),118509002,Structure of fascial compartment (body structure),0.0,Compartment syndrome (disorder),111245009
116676008,Associated morphology (attribute),37782003,Damage (morphologic abnormality),0.0,Compartment syndrome (disorder),111245009
246075003,Causative agent (attribute),285665007,Increase in pressure (physical force),0.0,Compartment syndrome (disorder),111245009
363698007,Finding site (attribute),55301004,Structure of proximal epiphysis of femur (body structure),0.0,Avascular necrosis of the capital femoral epiphysis (disorder),111255008
116676008,Associated morphology (attribute),86217007,Avascular necrosis (morphologic abnormality),0.0,Avascular necrosis of the capital femoral epiphysis (disorder),111255008
363698007,Finding site (attribute),46030003,Tricuspid valve structure (body structure),0.0,Tricuspid valve regurgitation (disorder),111287006
116676008,Associated morphology (attribute),708024004,Valvular insufficiency (morphologic abnormality),0.0,Tricuspid valve regurgitation (disorder),111287006
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),0.0,Tay-Sachs disease (disorder),111385000
363698007,Finding site (attribute),25087005,Structure of nervous system (body structure),1.0,Tay-Sachs disease (disorder),111385000
363714003,Interprets (attribute),61928009,Platelet count (procedure),0.0,Hemolytic uremic syndrome (disorder),111407006
363713009,Has interpretation (attribute),281300000,Below reference range (qualifier value),0.0,Hemolytic uremic syndrome (disorder),111407006
363714003,Interprets (attribute),14089001,Red blood cell count (procedure),1.0,Hemolytic uremic syndrome (disorder),111407006
363713009,Has interpretation (attribute),281300000,Below reference range (qualifier value),1.0,Hemolytic uremic syndrome (disorder),111407006
363714003,Interprets (attribute),441689006,Measurement of total hemoglobin concentration (procedure),2.0,Hemolytic uremic syndrome (disorder),111407006
363713009,Has interpretation (attribute),281300000,Below reference range (qualifier value),2.0,Hemolytic uremic syndrome (disorder),111407006
363714003,Interprets (attribute),441915005,Measurement of renal function (procedure),3.0,Hemolytic uremic syndrome (disorder),111407006
363713009,Has interpretation (attribute),260379002,Impaired (qualifier value),3.0,Hemolytic uremic syndrome (disorder),111407006
363698007,Finding site (attribute),41898006,Erythrocyte (cell),4.0,Hemolytic uremic syndrome (disorder),111407006
363714003,Interprets (attribute),404227002,Hemolysis (observable entity),5.0,Hemolytic uremic syndrome (disorder),111407006
363713009,Has interpretation (attribute),52101004,Present (qualifier value),5.0,Hemolytic uremic syndrome (disorder),111407006
363698007,Finding site (attribute),64033007,Kidney structure (body structure),6.0,Hemolytic uremic syndrome (disorder),111407006
263502005,Clinical course (attribute),424124008,Sudden onset AND/OR short duration (qualifier value),7.0,Hemolytic uremic syndrome (disorder),111407006
116676008,Associated morphology (attribute),70310009,Schistocyte (cell),8.0,Hemolytic uremic syndrome (disorder),111407006
363698007,Finding site (attribute),2748008,Spinal cord structure (body structure),0.0,Syringomyelia (disorder),111496009
116676008,Associated morphology (attribute),75797008,Syrinx (morphologic abnormality),0.0,Syringomyelia (disorder),111496009
263502005,Clinical course (attribute),424124008,Sudden onset AND/OR short duration (qualifier value),0.0,Benign paroxysmal positional vertigo (disorder),111541001
363698007,Finding site (attribute),302462009,Labyrinth structure (body structure),1.0,Benign paroxysmal positional vertigo (disorder),111541001
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Infection caused by Shigella (disorder),111817006
246075003,Causative agent (attribute),77352002,Genus Shigella (organism),0.0,Infection caused by Shigella (disorder),111817006
363698007,Finding site (attribute),113276009,Intestinal structure (body structure),0.0,Viral gastroenteritis (disorder),111843007
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),0.0,Viral gastroenteritis (disorder),111843007
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Viral gastroenteritis (disorder),111843007
246075003,Causative agent (attribute),49872002,Virus (organism),0.0,Viral gastroenteritis (disorder),111843007
363698007,Finding site (attribute),69695003,Stomach structure (body structure),1.0,Viral gastroenteritis (disorder),111843007
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),1.0,Viral gastroenteritis (disorder),111843007
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),1.0,Viral gastroenteritis (disorder),111843007
246075003,Causative agent (attribute),49872002,Virus (organism),1.0,Viral gastroenteritis (disorder),111843007
260686004,Method (attribute),312250003,Magnetic resonance imaging - action (qualifier value),0.0,Magnetic resonance imaging (procedure),113091000
363698007,Finding site (attribute),400090007,Pilosebaceous apparatus structure (body structure),0.0,Acne vulgaris (disorder),11381005
116676008,Associated morphology (attribute),52988006,Lesion (morphologic abnormality),0.0,Acne vulgaris (disorder),11381005
260686004,Method (attribute),129287005,Incision - action (qualifier value),0.0,Cesarean section (procedure),11466000
405813007,Procedure site - Direct (attribute),35039007,Uterine structure (body structure),0.0,Cesarean section (procedure),11466000
260686004,Method (attribute),129415008,Extraction - action (qualifier value),1.0,Cesarean section (procedure),11466000
405813007,Procedure site - Direct (attribute),55460000,Fetal structure (body structure),1.0,Cesarean section (procedure),11466000
260686004,Method (attribute),360149000,Delivery - action (qualifier value),2.0,Cesarean section (procedure),11466000
363698007,Finding site (attribute),41845008,Ear ossicle structure (body structure),0.0,Otosclerosis (disorder),11543004
363698007,Finding site (attribute),113331007,Structure of endocrine system (body structure),0.0,Gestational diabetes mellitus (disorder),11687002
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Actinomycotic infection (disorder),11817007
246075003,Causative agent (attribute),40560008,Genus Actinomyces (organism),0.0,Actinomycotic infection (disorder),11817007
363714003,Interprets (attribute),39211005,Bowel action (observable entity),0.0,Traveler's diarrhea (disorder),11840006
363713009,Has interpretation (attribute),18307000,Altered (qualifier value),0.0,Traveler's diarrhea (disorder),11840006
363698007,Finding site (attribute),113276009,Intestinal structure (body structure),1.0,Traveler's diarrhea (disorder),11840006
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),1.0,Traveler's diarrhea (disorder),11840006
246075003,Causative agent (attribute),116394005,Enterotoxigenic Escherichia coli (organism),1.0,Traveler's diarrhea (disorder),11840006
116676008,Associated morphology (attribute),128930002,Hodgkin lymphoma - category (morphologic abnormality),0.0,Hodgkin's disease (disorder),118599009
116676008,Associated morphology (attribute),128929007,Non-Hodgkin lymphoma - category (morphologic abnormality),0.0,Non-Hodgkin's lymphoma (disorder),118601006
363698007,Finding site (attribute),14016003,Bone marrow structure (body structure),0.0,Hairy cell leukemia (disorder),118613001
116676008,Associated morphology (attribute),54087003,Hairy cell leukemia (morphologic abnormality),0.0,Hairy cell leukemia (disorder),118613001
260686004,Method (attribute),129304002,Excision - action (qualifier value),0.0,Adenoid excision (procedure),119954001
405813007,Procedure site - Direct (attribute),55940004,Adenoidal structure (body structure),0.0,Adenoid excision (procedure),119954001
363698007,Finding site (attribute),955009,Bronchial structure (body structure),0.0,Bronchiectasis (disorder),12295008
116676008,Associated morphology (attribute),25322007,Dilatation (morphologic abnormality),0.0,Bronchiectasis (disorder),12295008
363698007,Finding site (attribute),304041004,Gonadal endocrine structure (body structure),0.0,Androgen resistance syndrome (disorder),12313004
363698007,Finding site (attribute),39937001,Skin structure (body structure),0.0,Vesicular eczema (disorder),123698008
116676008,Associated morphology (attribute),72095004,Vesicular inflammation (morphologic abnormality),0.0,Vesicular eczema (disorder),123698008
116676008,Associated morphology (attribute),48333001,Burn injury (morphologic abnormality),0.0,Burn (disorder),125666000
42752001,Due to (attribute),773760007,Traumatic event (event),1.0,Burn (disorder),125666000
363698007,Finding site (attribute),75858005,Serous membrane structure (body structure),0.0,Familial Mediterranean fever (disorder),12579009
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),0.0,Familial Mediterranean fever (disorder),12579009
263502005,Clinical course (attribute),255227004,Recurrent (qualifier value),1.0,Familial Mediterranean fever (disorder),12579009
47429007,Associated with (attribute),386661006,Fever (finding),2.0,Familial Mediterranean fever (disorder),12579009
363698007,Finding site (attribute),68426009,Nasal septum structure (body structure),0.0,Deviated nasal septum (disorder),126660000
116676008,Associated morphology (attribute),37068007,Lateral displacement (morphologic abnormality),0.0,Deviated nasal septum (disorder),126660000
363698007,Finding site (attribute),28231008,Gallbladder structure (body structure),0.0,Neoplasm of gallbladder (disorder),126854002
116676008,Associated morphology (attribute),108369006,Neoplasm (morphologic abnormality),0.0,Neoplasm of gallbladder (disorder),126854002
363698007,Finding site (attribute),81686004,Vestibular nerve structure (body structure),0.0,Acoustic neuroma (disorder),126949007
116676008,Associated morphology (attribute),253086004,Cellular schwannoma (morphologic abnormality),0.0,Acoustic neuroma (disorder),126949007
363698007,Finding site (attribute),2748008,Spinal cord structure (body structure),0.0,Neoplasm of spinal cord (disorder),126962006
116676008,Associated morphology (attribute),108369006,Neoplasm (morphologic abnormality),0.0,Neoplasm of spinal cord (disorder),126962006
363698007,Finding site (attribute),64033007,Kidney structure (body structure),0.0,Disorder of kidney co-occurrent and due to diabetes mellitus (disorder),127013003
42752001,Due to (attribute),73211009,Diabetes mellitus (disorder),1.0,Disorder of kidney co-occurrent and due to diabetes mellitus (disorder),127013003
363714003,Interprets (attribute),14089001,Red blood cell count (procedure),0.0,Sickle cell-hemoglobin SS disease (disorder),127040003
363713009,Has interpretation (attribute),281300000,Below reference range (qualifier value),0.0,Sickle cell-hemoglobin SS disease (disorder),127040003
363714003,Interprets (attribute),441689006,Measurement of total hemoglobin concentration (procedure),1.0,Sickle cell-hemoglobin SS disease (disorder),127040003
363713009,Has interpretation (attribute),281300000,Below reference range (qualifier value),1.0,Sickle cell-hemoglobin SS disease (disorder),127040003
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),2.0,Sickle cell-hemoglobin SS disease (disorder),127040003
363698007,Finding site (attribute),41898006,Erythrocyte (cell),2.0,Sickle cell-hemoglobin SS disease (disorder),127040003
116676008,Associated morphology (attribute),49938009,Drepanocyte (cell),3.0,Sickle cell-hemoglobin SS disease (disorder),127040003
246075003,Causative agent (attribute),50095005,Hemoglobin S (substance),4.0,Sickle cell-hemoglobin SS disease (disorder),127040003
363714003,Interprets (attribute),14089001,Red blood cell count (procedure),0.0,Erythrocytosis (disorder),127062003
363713009,Has interpretation (attribute),281302008,Above reference range (qualifier value),0.0,Erythrocytosis (disorder),127062003
363698007,Finding site (attribute),41898006,Erythrocyte (cell),1.0,Erythrocytosis (disorder),127062003
363714003,Interprets (attribute),33468001,Hematology procedure (procedure),2.0,Erythrocytosis (disorder),127062003
363698007,Finding site (attribute),12738006,Brain structure (body structure),0.0,Traumatic brain injury (disorder),127295002
116676008,Associated morphology (attribute),37782003,Damage (morphologic abnormality),0.0,Traumatic brain injury (disorder),127295002
42752001,Due to (attribute),773760007,Traumatic event (event),1.0,Traumatic brain injury (disorder),127295002
260686004,Method (attribute),129266000,Measurement - action (qualifier value),0.0,Spirometry (procedure),127783003
116676008,Associated morphology (attribute),385627004,Cellulitis (morphologic abnormality),0.0,Cellulitis (disorder),128045006
363698007,Finding site (attribute),87003004,Structure of deep vein (body structure),0.0,Deep venous thrombosis (disorder),128053003
116676008,Associated morphology (attribute),396339007,Thrombus (morphologic abnormality),0.0,Deep venous thrombosis (disorder),128053003
363698007,Finding site (attribute),29092000,Venous structure (body structure),0.0,Venous varices (disorder),128060009
116676008,Associated morphology (attribute),12856003,Uneven venous ectasia (morphologic abnormality),0.0,Venous varices (disorder),128060009
363714003,Interprets (attribute),74848003,Hemostatic function (observable entity),0.0,von Willebrand disorder (disorder),128105004
363713009,Has interpretation (attribute),263654008,Abnormal (qualifier value),0.0,von Willebrand disorder (disorder),128105004
263502005,Clinical course (attribute),702322003,Non-progressive (qualifier value),0.0,Cerebral palsy (disorder),128188000
363698007,Finding site (attribute),83678007,Structure of cerebrum (body structure),1.0,Cerebral palsy (disorder),128188000
363698007,Finding site (attribute),3058005,Peripheral nervous system structure (body structure),0.0,Complex regional pain syndrome (disorder),128200000
263502005,Clinical course (attribute),90734009,Chronic (qualifier value),1.0,Complex regional pain syndrome (disorder),128200000
363698007,Finding site (attribute),64172009,Thoracic outlet structure (body structure),0.0,Thoracic outlet syndrome (disorder),128210009
116676008,Associated morphology (attribute),71173004,Compression (morphologic abnormality),0.0,Thoracic outlet syndrome (disorder),128210009
363698007,Finding site (attribute),10200004,Liver structure (body structure),0.0,Inflammatory disease of liver (disorder),128241005
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),0.0,Inflammatory disease of liver (disorder),128241005
363698007,Finding site (attribute),74862005,Uveal tract structure (body structure),0.0,Uveitis (disorder),128473001
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),0.0,Uveitis (disorder),128473001
116676008,Associated morphology (attribute),44132006,Abscess (morphologic abnormality),0.0,Abscess (disorder),128477000
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),0.0,Medium-chain acyl-coenzyme A dehydrogenase deficiency (disorder),128596003
363698007,Finding site (attribute),127955005,Structure of intracranial artery (body structure),0.0,Intracranial aneurysm (disorder),128609009
116676008,Associated morphology (attribute),85659009,Aneurysm (morphologic abnormality),0.0,Intracranial aneurysm (disorder),128609009
246075003,Causative agent (attribute),47624007,Sarcoptes scabiei var. hominis (organism),0.0,Infestation caused by Sarcoptes scabiei var hominis (disorder),128869009
363698007,Finding site (attribute),39937001,Skin structure (body structure),1.0,Infestation caused by Sarcoptes scabiei var hominis (disorder),128869009
246075003,Causative agent (attribute),84073006,Mite (organism),1.0,Infestation caused by Sarcoptes scabiei var hominis (disorder),128869009
116676008,Associated morphology (attribute),396224008,Endometriosis (morphologic abnormality),0.0,Endometriosis (disorder),129103003
363698007,Finding site (attribute),117590005,Ear structure (body structure),0.0,Infection of ear (disorder),129127001
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Infection of ear (disorder),129127001
363698007,Finding site (attribute),64033007,Kidney structure (body structure),0.0,Infectious disorder of kidney (disorder),129128006
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Infectious disorder of kidney (disorder),129128006
260686004,Method (attribute),129314006,Biopsy - action (qualifier value),0.0,Needle biopsy (procedure),129249002
424226004,Using device (attribute),79068005,"Needle, device (physical object)",0.0,Needle biopsy (procedure),129249002
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Histoplasmosis (disorder),12962009
246075003,Causative agent (attribute),81951003,Histoplasma (organism),0.0,Histoplasmosis (disorder),12962009
363698007,Finding site (attribute),15497006,Ovarian structure (body structure),0.0,Ovarian hyperstimulation syndrome (disorder),129635004
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),0.0,Congenital heart disease (disorder),13213009
363698007,Finding site (attribute),80891009,Heart structure (body structure),0.0,Congenital heart disease (disorder),13213009
116676008,Associated morphology (attribute),49755003,Morphologically abnormal structure (morphologic abnormality),0.0,Congenital heart disease (disorder),13213009
370135005,Pathological process (attribute),308490002,Pathological developmental process (qualifier value),0.0,Congenital heart disease (disorder),13213009
363698007,Finding site (attribute),26107004,Structure of musculoskeletal system (body structure),0.0,Induratio penis plastica (disorder),1335005
116676008,Associated morphology (attribute),19928005,Fibromatosis (morphologic abnormality),0.0,Induratio penis plastica (disorder),1335005
363698007,Finding site (attribute),18911002,Penile structure (body structure),1.0,Induratio penis plastica (disorder),1335005
363702006,Has focus (attribute),387713003,Surgical procedure (procedure),0.0,Postoperative care (regime/therapy),133899007
405816004,Procedure morphology (attribute),48333001,Burn injury (morphologic abnormality),0.0,Burn care (regime/therapy),133901003
363698007,Finding site (attribute),56329008,Pituitary structure (body structure),0.0,Prolactinoma (disorder),134209002
116676008,Associated morphology (attribute),34337008,Prolactinoma (morphologic abnormality),0.0,Prolactinoma (disorder),134209002
363698007,Finding site (attribute),302462009,Labyrinth structure (body structure),0.0,Ménière's disease (disorder),13445001
363698007,Finding site (attribute),128511007,Posterior muscle of thigh structure (body structure),0.0,Hamstring injury (disorder),135851009
116676008,Associated morphology (attribute),37782003,Damage (morphologic abnormality),0.0,Hamstring injury (disorder),135851009
42752001,Due to (attribute),773760007,Traumatic event (event),1.0,Hamstring injury (disorder),135851009
363714003,Interprets (attribute),412808005,Serum total cholesterol measurement (procedure),0.0,Hypercholesterolemia (disorder),13644009
363713009,Has interpretation (attribute),281302008,Above reference range (qualifier value),0.0,Hypercholesterolemia (disorder),13644009
263502005,Clinical course (attribute),90734009,Chronic (qualifier value),0.0,Chronic obstructive lung disease (disorder),13645005
363698007,Finding site (attribute),55214000,Bronchiole structure (body structure),1.0,Chronic obstructive lung disease (disorder),13645005
116676008,Associated morphology (attribute),708528005,Narrowing (morphologic abnormality),1.0,Chronic obstructive lung disease (disorder),13645005
363698007,Finding site (attribute),89546000,Bone structure of cranium (body structure),0.0,Brachycephaly (disorder),13649004
116676008,Associated morphology (attribute),6081001,Deformity (morphologic abnormality),0.0,Brachycephaly (disorder),13649004
260686004,Method (attribute),129433002,Inspection - action (qualifier value),0.0,Arthroscopy (procedure),13714004
405813007,Procedure site - Direct (attribute),39352004,Joint structure (body structure),0.0,Arthroscopy (procedure),13714004
424226004,Using device (attribute),23228005,"Arthroscope, device (physical object)",0.0,Arthroscopy (procedure),13714004
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Anaplasmosis (disorder),13906002
246075003,Causative agent (attribute),3351007,Genus Anaplasma (organism),0.0,Anaplasmosis (disorder),13906002
263502005,Clinical course (attribute),424124008,Sudden onset AND/OR short duration (qualifier value),0.0,Acute nontraumatic kidney injury (disorder),140031000119103
363698007,Finding site (attribute),64033007,Kidney structure (body structure),0.0,Acute nontraumatic kidney injury (disorder),140031000119103
116676008,Associated morphology (attribute),37782003,Damage (morphologic abnormality),0.0,Acute nontraumatic kidney injury (disorder),140031000119103
363714003,Interprets (attribute),441915005,Measurement of renal function (procedure),1.0,Acute nontraumatic kidney injury (disorder),140031000119103
363713009,Has interpretation (attribute),260379002,Impaired (qualifier value),1.0,Acute nontraumatic kidney injury (disorder),140031000119103
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Measles (disorder),14189004
246075003,Causative agent (attribute),52584002,Measles morbillivirus (organism),0.0,Measles (disorder),14189004
363714003,Interprets (attribute),441915005,Measurement of renal function (procedure),0.0,Acute renal failure syndrome (disorder),14669001
363713009,Has interpretation (attribute),260379002,Impaired (qualifier value),0.0,Acute renal failure syndrome (disorder),14669001
363698007,Finding site (attribute),64033007,Kidney structure (body structure),1.0,Acute renal failure syndrome (disorder),14669001
263502005,Clinical course (attribute),424124008,Sudden onset AND/OR short duration (qualifier value),2.0,Acute renal failure syndrome (disorder),14669001
363698007,Finding site (attribute),48477009,Lip structure (body structure),0.0,Herpes labialis (disorder),1475003
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Herpes labialis (disorder),1475003
246075003,Causative agent (attribute),19965007,Human herpes simplex virus (organism),0.0,Herpes labialis (disorder),1475003
363714003,Interprets (attribute),39211005,Bowel action (observable entity),0.0,Constipation (finding),14760008
363713009,Has interpretation (attribute),18307000,Altered (qualifier value),0.0,Constipation (finding),14760008
363698007,Finding site (attribute),122865005,Gastrointestinal tract structure (body structure),1.0,Constipation (finding),14760008
363698007,Finding site (attribute),80243003,Eyelid structure (body structure),0.0,Hordeolum externum (disorder),1489008
116676008,Associated morphology (attribute),123630003,Focal acute inflammation (morphologic abnormality),0.0,Hordeolum externum (disorder),1489008
246075003,Causative agent (attribute),311492009,Ingestible alcohol (substance),0.0,Alcohol abuse (disorder),15167005
363714003,Interprets (attribute),47078008,"Hearing, function (observable entity)",0.0,Hearing loss (disorder),15188001
363698007,Finding site (attribute),91159003,Structure of auditory system (body structure),1.0,Hearing loss (disorder),15188001
246454002,Occurrence (attribute),767023003,Period of life beginning after birth and ending before death (qualifier value),0.0,Acquired trigger finger (disorder),1539003
363698007,Finding site (attribute),368380004,Structure of flexor tendon of finger (body structure),0.0,Acquired trigger finger (disorder),1539003
116676008,Associated morphology (attribute),6081001,Deformity (morphologic abnormality),0.0,Acquired trigger finger (disorder),1539003
363698007,Finding site (attribute),90264002,Male genital structure (body structure),0.0,Late ejaculation (finding),15405008
363714003,Interprets (attribute),246464006,Function (observable entity),1.0,Late ejaculation (finding),15405008
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Gonorrhea (disorder),15628003
246075003,Causative agent (attribute),68704007,Neisseria gonorrhoeae (organism),0.0,Gonorrhea (disorder),15628003
363698007,Finding site (attribute),39937001,Skin structure (body structure),0.0,Psoriatic arthritis (disorder),156370009
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),0.0,Psoriatic arthritis (disorder),156370009
363698007,Finding site (attribute),361367007,Entire digit (body structure),1.0,Psoriatic arthritis (disorder),156370009
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),1.0,Psoriatic arthritis (disorder),156370009
363698007,Finding site (attribute),410054009,Structure of enthesis (body structure),2.0,Psoriatic arthritis (disorder),156370009
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),2.0,Psoriatic arthritis (disorder),156370009
363698007,Finding site (attribute),39723000,Sacroiliac joint structure (body structure),3.0,Psoriatic arthritis (disorder),156370009
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),3.0,Psoriatic arthritis (disorder),156370009
363698007,Finding site (attribute),8983005,Joint structure of spine (body structure),4.0,Psoriatic arthritis (disorder),156370009
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),4.0,Psoriatic arthritis (disorder),156370009
370135005,Pathological process (attribute),472963003,Hypersensitivity process (qualifier value),5.0,Psoriatic arthritis (disorder),156370009
