snomedConcept,snomedDesConcept,snomedDesIdentifier,snomedIdentifier
Referral to clinic (procedure),Referral to hospital diabetes antenatal clinic (procedure),770811007,183851006
Removal of intrauterine device (procedure),Removal of intrauterine contraceptive device using fluoroscopic guidance (procedure),718856002,68254000
Removal of subcutaneous contraceptive (procedure),Removal of etonogestrel radiopaque contraceptive implant (procedure),450836008,301807007
Replacement of contraceptive intrauterine device (procedure)   ,Replacement of contraceptive intrauterine device (procedure),46706006,46706006
Respiratory therapy (procedure),Nocturnal dual pressure spontaneous ventilation support (regime/therapy),34291000175108,53950000
Review of systems (procedure),Review of systems (procedure),415300000,415300000
Routine antenatal care (regime/therapy),Routine antenatal care (regime/therapy),134435003,134435003
Rupture of appendix (disorder),Ruptured suppurative appendicitis (disorder),95547004,47693006
Screening finding (finding),Cystic fibrosis transmembrane conductance regulator related metabolic syndrome (finding),16434671000119101,365856005
Screening for disorder (procedure),Carotid artery disease screening (procedure),24071000087108,312851005
Screening for occult blood in feces (procedure),Screening for occult blood in feces (procedure),104435004,104435004
Self-care interventions (procedure),Training to manage personal hygiene (procedure),718630007,384758001
Smokes tobacco daily (finding),Smokes tobacco daily (finding),449868002,449868002
Sputum examination (procedure),Microscopic cytologic examination of sputum specimen (procedure),609314005,269911007
Suicide risk assessment (procedure),Suicide risk assessment (procedure),225337009,225337009
Surgical manipulation of shoulder joint (procedure),Surgical manipulation of shoulder joint (procedure),387685009,387685009
Surveillance (regime/therapy),Antihypertensive agent surveillance (regime/therapy),50161000119104,225419007
Suspected lung cancer (situation),Suspected lung cancer (situation),162573006,162573006
Suture open wound (procedure),Suture of laceration of lip (procedure),708790006,288086009
Sweat test (procedure),Sweat conductivity (procedure),391293006,168172001
Syphilis infectious titer test (procedure),Syphilis infectious titer test (procedure),269828009,269828009
Thoracentesis (procedure),Thoracentesis using computed tomography guidance (procedure),709787009,91602002
Ultrasonography of bilateral breasts (procedure),Ultrasonography of bilateral breasts and bilateral axillae (procedure),12711000087103,1571000087109
Ultrasound scan of upper abdomen (procedure),"Ultrasonography of abdomen, right upper quadrant and epigastrium (procedure)",426701000119108,418398002
Urinalysis (procedure),Urine microscopy for percentage of lymphocytes (procedure),713587006,27171005
"Human parturition, function (observable entity)","Human parturition, function (observable entity)",386216000,386216000
Urine protein test,Measurement of fractional excretion of amylase using urine specimen and serum or plasma specimen (procedure),447317003,57378007
Postnatal visit (regime/therapy),Postnatal - tenth day visit (regime/therapy),169772000,169762003
Diabetes self management plan (record artifact),Diabetes self management plan (record artifact),735985000,735985000
Fetus with chromosomal abnormality (disorder),Fetus with complete trisomy 13 syndrome (disorder),125521000119101,267253006
