snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation
Polycythemia vera (disorder),109992005,127066000,Familial polycythemia vera (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<14016003|Bone marrow structure (body structure)|,116676008|Associated morphology (attribute)| = 128841001|Polycythemia vera (morphologic abnormality)|})&limit=7000",2
Essential thrombocythemia (disorder),109994006,109994006,Essential thrombocythemia (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 61928009|Platelet count (procedure)|,363713009|Has interpretation (attribute)| = 281302008|Above reference range (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 74848003|Hemostatic function (observable entity)|,363713009|Has interpretation (attribute)| = 263654008|Abnormal (qualifier value)|} AND [1..1]{116676008|Associated morphology (attribute)| = 128844009|Essential thrombocythemia (morphologic abnormality)|} AND [1..1]{116676008|Associated morphology (attribute)| = 414644002|Malignant hematopoietic neoplasm (morphologic abnormality)|})&limit=7000",1
Myelodysplastic syndrome (disorder),109995007,705061009,Childhood myelodysplastic syndrome (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<14016003|Bone marrow structure (body structure)|,116676008|Associated morphology (attribute)| = 128623006|Myelodysplastic syndrome (morphologic abnormality)|})&limit=7000",3
Concussion injury of brain (disorder),110030002,874940002,Brain stem laceration with concussion (disorder),"(*):  ([1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|} AND [1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|,116676008|Associated morphology (attribute)| = 708539008|Concussive injury (morphologic abnormality)|})&limit=7000",26
Cataract surgery (procedure),110473004,397544007,Complicated cataract surgery (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129284003|Surgical action (qualifier value)|,405814001|Procedure site - Indirect (attribute)| = 78076003|Structure of lens of eye (body structure)|,363700003|Direct morphology (attribute)| = 128306009|Cataract (morphologic abnormality)|})&limit=7000",6
Bursitis of knee (disorder),111243002,1076381000119108,Infection of prepatellar bursa of left knee (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<425038009|Structure of bursa of knee (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",28
Compartment syndrome (disorder),111245009,314441000119108,Nontraumatic compartment syndrome of left upper limb (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<118509002|Structure of fascial compartment (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|,246075003|Causative agent (attribute)| = 285665007|Increase in pressure (physical force)|})&limit=7000",26
Avascular necrosis of the capital femoral epiphysis (disorder),111255008,715657008,Familial avascular necrosis of head of femur (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<55301004|Structure of proximal epiphysis of femur (body structure)|,116676008|Associated morphology (attribute)| = 86217007|Avascular necrosis (morphologic abnormality)|})&limit=7000",4
Tricuspid valve regurgitation (disorder),111287006,838456000,Severe tricuspid valve regurgitation (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<46030003|Tricuspid valve structure (body structure)|,116676008|Associated morphology (attribute)| = 708024004|Valvular insufficiency (morphologic abnormality)|})&limit=7000",14
Tay-Sachs disease (disorder),111385000,16054431000119107,Congenital hypoplasia of left optic nerve (disorder),(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<25087005|Structure of nervous system (body structure)|})&limit=7000,439
Hemolytic uremic syndrome (disorder),111407006,789660001,Atypical hemolytic uremic syndrome (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 61928009|Platelet count (procedure)|,363713009|Has interpretation (attribute)| = <<281300000|Below reference range (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 14089001|Red blood cell count (procedure)|,363713009|Has interpretation (attribute)| = <<281300000|Below reference range (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 441689006|Measurement of total hemoglobin concentration (procedure)|,363713009|Has interpretation (attribute)| = <<281300000|Below reference range (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 441915005|Measurement of renal function (procedure)|,363713009|Has interpretation (attribute)| = 260379002|Impaired (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<41898006|Erythrocyte (cell)|} AND [1..1]{363714003|Interprets (attribute)| = 404227002|Hemolysis (observable entity)|,363713009|Has interpretation (attribute)| = 52101004|Present (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<64033007|Kidney structure (body structure)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|} AND [1..1]{116676008|Associated morphology (attribute)| = 70310009|Schistocyte (cell)|})&limit=7000",8
Syringomyelia (disorder),111496009,770683002,Secondary syringomyelia (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<2748008|Spinal cord structure (body structure)|,116676008|Associated morphology (attribute)| = 75797008|Syrinx (morphologic abnormality)|})&limit=7000",6
Benign paroxysmal positional vertigo (disorder),111541001,1010673002,Benign positional paroxysmal vertigo posterior canal (disorder),(*):  ([1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<302462009|Labyrinth structure (body structure)|})&limit=7000,6
Infection caused by Shigella (disorder),111817006,111817006,Infection caused by Shigella (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 77352002|Genus Shigella (organism)|})&limit=7000",2
Viral gastroenteritis (disorder),111843007,308119005,Infantile viral gastroenteritis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<113276009|Intestinal structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 49872002|Virus (organism)|} AND [1..1]{363698007|Finding site (attribute)| = <<69695003|Stomach structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 49872002|Virus (organism)|})&limit=7000",2
Acne vulgaris (disorder),11381005,785724007,"Pyoderma gangrenosum, acne, suppurative hidradenitis syndrome (disorder)","(*):  ([1..1]{363698007|Finding site (attribute)| = <<400090007|Pilosebaceous apparatus structure (body structure)|,116676008|Associated morphology (attribute)| = 52988006|Lesion (morphologic abnormality)|})&limit=7000",34
Cesarean section (procedure),11466000,788180009,Lower uterine segment cesarean section (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129287005|Incision - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<35039007|Uterine structure (body structure)|} AND [1..1]{260686004|Method (attribute)| = 129415008|Extraction - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<55460000|Fetal structure (body structure)|} AND [1..1]{260686004|Method (attribute)| = 360149000|Delivery - action (qualifier value)|})&limit=7000",24
Actinomycotic infection (disorder),11817007,1082451000119102,Encephalitis caused by Actinomyces (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 40560008|Genus Actinomyces (organism)|})&limit=7000",28
Traveler's diarrhea (disorder),11840006,11840006,Traveler's diarrhea (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 39211005|Bowel action (observable entity)|,363713009|Has interpretation (attribute)| = 18307000|Altered (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<113276009|Intestinal structure (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 116394005|Enterotoxigenic Escherichia coli (organism)|})&limit=7000",1
Hairy cell leukemia (disorder),118613001,404139001,Leukemic infiltration of skin in hairy-cell leukemia (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<14016003|Bone marrow structure (body structure)|,116676008|Associated morphology (attribute)| = 54087003|Hairy cell leukemia (morphologic abnormality)|})&limit=7000",13
Adenoid excision (procedure),119954001,173431009,Guillotine tonsillectomy and adenoidectomy (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129304002|Excision - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<55940004|Adenoidal structure (body structure)|})&limit=7000",6
Bronchiectasis (disorder),12295008,879963005,Exacerbation of bronchiectasis caused by infection (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<955009|Bronchial structure (body structure)|,116676008|Associated morphology (attribute)| = 25322007|Dilatation (morphologic abnormality)|})&limit=7000",20
Vesicular eczema (disorder),123698008,1090431000119106,Recurrent vesicular dermatitis caused by human herpes simplex virus (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 72095004|Vesicular inflammation (morphologic abnormality)|})&limit=7000",31
Burn (disorder),125666000,12107901000119103,Burn of lower back (disorder),(*):  ([1..1]{116676008|Associated morphology (attribute)| = 48333001|Burn injury (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|})&limit=7000,263
Familial Mediterranean fever (disorder),12579009,12579009,Familial Mediterranean fever (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<75858005|Serous membrane structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 255227004|Recurrent (qualifier value)|} AND [1..1]{47429007|Associated with (attribute)| = 386661006|Fever (finding)|})&limit=7000",1
Deviated nasal septum (disorder),126660000,249318003,"Nasal deviation, cartilage (finding)","(*):  ([1..1]{363698007|Finding site (attribute)| = <<68426009|Nasal septum structure (body structure)|,116676008|Associated morphology (attribute)| = 37068007|Lateral displacement (morphologic abnormality)|})&limit=7000",4
Neoplasm of gallbladder (disorder),126854002,126854002,Neoplasm of gallbladder (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<28231008|Gallbladder structure (body structure)|,116676008|Associated morphology (attribute)| = 108369006|Neoplasm (morphologic abnormality)|})&limit=7000",1
Acoustic neuroma (disorder),126949007,16594881000119101,Acoustic neuroma of left vestibular nerve (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<81686004|Vestibular nerve structure (body structure)|,116676008|Associated morphology (attribute)| = 253086004|Cellular schwannoma (morphologic abnormality)|})&limit=7000",3
Neoplasm of spinal cord (disorder),126962006,126964007,Neoplasm of spinal meninges (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<2748008|Spinal cord structure (body structure)|,116676008|Associated morphology (attribute)| = 108369006|Neoplasm (morphologic abnormality)|})&limit=7000",2
Disorder of kidney co-occurrent and due to diabetes mellitus (disorder),127013003,792926007,Armanni-Ebstein kidney due to diabetes mellitus (disorder),(*):  ([1..1]{363698007|Finding site (attribute)| = <<64033007|Kidney structure (body structure)|} AND [1..1]{42752001|Due to (attribute)| = 73211009|Diabetes mellitus (disorder)|})&limit=7000,14
Sickle cell-hemoglobin SS disease (disorder),127040003,10759351000119103,Sickle cell anemia in mother complicating childbirth (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 14089001|Red blood cell count (procedure)|,363713009|Has interpretation (attribute)| = <<281300000|Below reference range (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 441689006|Measurement of total hemoglobin concentration (procedure)|,363713009|Has interpretation (attribute)| = <<281300000|Below reference range (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<41898006|Erythrocyte (cell)|} AND [1..1]{116676008|Associated morphology (attribute)| = 49938009|Drepanocyte (cell)|} AND [1..1]{246075003|Causative agent (attribute)| = 50095005|Hemoglobin S (substance)|})&limit=7000",8
Erythrocytosis (disorder),127062003,783766005,Autosomal recessive secondary polycythemia not associated with Von Hippel Lindau gene (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 14089001|Red blood cell count (procedure)|,363713009|Has interpretation (attribute)| = 281302008|Above reference range (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<41898006|Erythrocyte (cell)|} AND [1..1]{363714003|Interprets (attribute)| = 33468001|Hematology procedure (procedure)|})&limit=7000",44
Traumatic brain injury (disorder),127295002,329671000119106,Traumatic subarachnoid hemorrhage with loss of consciousness (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|})&limit=7000",48
Deep venous thrombosis (disorder),128053003,843433951000119102,Acute deep venous thrombosis of right peroneal vein (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<87003004|Structure of deep vein (body structure)|,116676008|Associated morphology (attribute)| = 396339007|Thrombus (morphologic abnormality)|})&limit=7000",73
Venous varices (disorder),128060009,33041000119105,Complicated internal hemorrhoid (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<29092000|Venous structure (body structure)|,116676008|Associated morphology (attribute)| = 12856003|Uneven venous ectasia (morphologic abnormality)|})&limit=7000",97
von Willebrand disorder (disorder),128105004,16623961000119100,Pancytopenia caused by immunosuppressant (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 74848003|Hemostatic function (observable entity)|,363713009|Has interpretation (attribute)| = 263654008|Abnormal (qualifier value)|})&limit=7000",528
Cerebral palsy (disorder),128188000,783005002,"Severe microbrachycephaly, intellectual disability, athetoid cerebral palsy syndrome (disorder)",(*):  ([1..1]{263502005|Clinical course (attribute)| = 702322003|Non-progressive (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<83678007|Structure of cerebrum (body structure)|})&limit=7000,28
Complex regional pain syndrome (disorder),128200000,293971000119103,Complex regional pain syndrome type I of right upper limb (disorder),(*):  ([1..1]{363698007|Finding site (attribute)| = <<3058005|Peripheral nervous system structure (body structure)|} AND [1..1]{263502005|Clinical course (attribute)| = 90734009|Chronic (qualifier value)|})&limit=7000,22
Thoracic outlet syndrome (disorder),128210009,16206181000119108,Neurogenic thoracic outlet syndrome of bilateral brachial plexus (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<64172009|Thoracic outlet structure (body structure)|,116676008|Associated morphology (attribute)| = 71173004|Compression (morphologic abnormality)|})&limit=7000",17
Inflammatory disease of liver (disorder),128241005,10759151000119101,Viral hepatitis in mother complicating pregnancy (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<10200004|Liver structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",82
Uveitis (disorder),128473001,15991791000119104,Iritis of left eye caused by herpes zoster virus (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<74862005|Uveal tract structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",164
Intracranial aneurysm (disorder),128609009,783716004,Acquired aneurysm of cerebral artery (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<127955005|Structure of intracranial artery (body structure)|,116676008|Associated morphology (attribute)| = 85659009|Aneurysm (morphologic abnormality)|})&limit=7000",16
Infestation caused by Sarcoptes scabiei var hominis (disorder),128869009,128870005,Crusted scabies (disorder),"(*):  ([1..1]{246075003|Causative agent (attribute)| = 47624007|Sarcoptes scabiei var. hominis (organism)|} AND [1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,246075003|Causative agent (attribute)| = 84073006|Mite (organism)|})&limit=7000",2
Infection of ear (disorder),129127001,11843991000119100,Infected abrasion of skin of left ear (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<117590005|Ear structure (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|})&limit=7000",79
Infectious disorder of kidney (disorder),129128006,42231000009109,Bacterial nephritis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<64033007|Kidney structure (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|})&limit=7000",33
Needle biopsy (procedure),129249002,16559741000119107,Percutaneous needle biopsy of cyst of spinal cord using computed tomography guidance (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129314006|Biopsy - action (qualifier value)|,424226004|Using device (attribute)| = 79068005|Needle, device (physical object)|})&limit=7000",78
Histoplasmosis (disorder),12962009,677221000119108,Histoplasmosis syndrome of right eye (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 81951003|Histoplasma (organism)|})&limit=7000",14
Congenital heart disease (disorder),13213009,15964981000119104,Congenital anomaly of cardiac chamber (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<80891009|Heart structure (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",250
Induratio penis plastica (disorder),1335005,1335005,Induratio penis plastica (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<26107004|Structure of musculoskeletal system (body structure)|,116676008|Associated morphology (attribute)| = 19928005|Fibromatosis (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<18911002|Penile structure (body structure)|})&limit=7000",1
Prolactinoma (disorder),134209002,253011004,Macroprolactinoma (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<56329008|Pituitary structure (body structure)|,116676008|Associated morphology (attribute)| = 34337008|Prolactinoma (morphologic abnormality)|})&limit=7000",3
Hamstring injury (disorder),135851009,135851009,Hamstring injury (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<128511007|Posterior muscle of thigh structure (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|})&limit=7000",1
Hypercholesterolemia (disorder),13644009,15771000119109,Familial hyperalphalipoproteinemia (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 412808005|Serum total cholesterol measurement (procedure)|,363713009|Has interpretation (attribute)| = 281302008|Above reference range (qualifier value)|})&limit=7000",20
Chronic obstructive lung disease (disorder),13645005,10692761000119107,Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder),"(*):  ([1..1]{263502005|Clinical course (attribute)| = 90734009|Chronic (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<55214000|Bronchiole structure (body structure)|,116676008|Associated morphology (attribute)| = 708528005|Narrowing (morphologic abnormality)|})&limit=7000",39
Brachycephaly (disorder),13649004,293291000119108,Acquired postural plagiocephaly (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<89546000|Bone structure of cranium (body structure)|,116676008|Associated morphology (attribute)| = 6081001|Deformity (morphologic abnormality)|})&limit=7000",17
Arthroscopy (procedure),13714004,708851000,Arthroscopy of subtalar joint (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129433002|Inspection - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<39352004|Joint structure (body structure)|,424226004|Using device (attribute)| = 23228005|Arthroscope, device (physical object)|})&limit=7000",63
Anaplasmosis (disorder),13906002,13906002,Anaplasmosis (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 3351007|Genus Anaplasma (organism)|})&limit=7000",1
Acute nontraumatic kidney injury (disorder),140031000119103,140031000119103,Acute nontraumatic kidney injury (disorder),"(*):  ([1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|,363698007|Finding site (attribute)| = <<64033007|Kidney structure (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|} AND [1..1]{363714003|Interprets (attribute)| = 441915005|Measurement of renal function (procedure)|,363713009|Has interpretation (attribute)| = 260379002|Impaired (qualifier value)|})&limit=7000",1
Measles (disorder),14189004,424306000,Exanthem caused by measles virus (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 52584002|Measles morbillivirus (organism)|})&limit=7000",13
Acute renal failure syndrome (disorder),14669001,368951000119105,Acute renal failure caused by contrast agent (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 441915005|Measurement of renal function (procedure)|,363713009|Has interpretation (attribute)| = 260379002|Impaired (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<64033007|Kidney structure (body structure)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|})&limit=7000",51
Herpes labialis (disorder),1475003,402892009,Recurrent herpes simplex labialis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<48477009|Lip structure (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 19965007|Human herpes simplex virus (organism)|})&limit=7000",3
Constipation (finding),14760008,11718971000119100,Diarrhea in pregnancy (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 39211005|Bowel action (observable entity)|,363713009|Has interpretation (attribute)| = 18307000|Altered (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<122865005|Gastrointestinal tract structure (body structure)|})&limit=7000",88
Hordeolum externum (disorder),1489008,340491000119104,Hordeolum externum of left eyelid (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<80243003|Eyelid structure (body structure)|,116676008|Associated morphology (attribute)| = 123630003|Focal acute inflammation (morphologic abnormality)|})&limit=7000",13
Hearing loss (disorder),15188001,15984471000119107,Impairment of hearing of left ear co-occurrent and due to congenital ear malformation (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 47078008|Hearing, function (observable entity)|} AND [1..1]{363698007|Finding site (attribute)| = <<91159003|Structure of auditory system (body structure)|})&limit=7000",425
Acquired trigger finger (disorder),1539003,322981000119108,Acquired trigger finger of right ring finger (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 767023003|Period of life beginning after birth and ending before death (qualifier value)|,363698007|Finding site (attribute)| = <<368380004|Structure of flexor tendon of finger (body structure)|,116676008|Associated morphology (attribute)| = 6081001|Deformity (morphologic abnormality)|})&limit=7000",9
Late ejaculation (finding),15405008,446551005,Able to get an erection when alone (finding),(*):  ([1..1]{363698007|Finding site (attribute)| = <<90264002|Male genital structure (body structure)|} AND [1..1]{363714003|Interprets (attribute)| = 246464006|Function (observable entity)|})&limit=7000,36
Gonorrhea (disorder),15628003,16898641000119100,Gonorrhea of lower genitourinary tract (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 68704007|Neisseria gonorrhoeae (organism)|})&limit=7000",95
